PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Janis Jünemann;Sartorius Juniors;A;Forward;2005;3;89.2;90.1;103.4;-13.4;-1.4;0.5;-0.9;0.9;0.0;0.1;0.0;0.01;21.1
Julijo Kendes;Team Urspring;A;Wing;2006;4;83.9;136.0;113.9;22.1;-0.4;-1.5;-1.9;0.4;0.4;-0.1;0.3;0.15;20.7
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;5;116.0;96.9;89.6;7.4;-0.1;-0.4;-0.5;1.3;0.2;0.2;0.4;0.15;20.7
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;5;138.1;109.8;93.6;16.2;0.6;-0.7;-0.1;1.5;0.5;0.2;0.7;0.20;20.7
Amon Levi Dörries;Alba Berlin;A;Wing;2006;6;141.4;89.2;85.3;3.9;-0.8;0.4;-0.4;1.3;0.1;0.3;0.5;0.13;20.5
Leonhard Laar;Team Urspring;A;Forward;2006;4;101.8;116.5;110.8;5.7;-1.1;-1.4;-2.6;-0.2;0.4;0.0;0.3;0.13;20.4
Timon Gotsis;KICKZ IBAM;A;Point;2007;2;19.5;111.0;106.1;4.9;-4.3;0.6;-3.7;0.1;0.1;0.0;0.0;0.10;20.4
Paul Schmidt;Tornados Franken;A;Combo;2006;3;14.9;238.0;99.0;138.9;-4.3;0.1;-4.2;0.0;0.1;0.0;0.1;0.16;20.3
Alfons Milatz;Niners Chemnitz Academy;A;Forward;2007;1;13.5;104.1;125.8;-21.7;-4.5;0.0;-4.5;-0.2;0.0;-0.1;0.0;-0.06;20.3
Lars Kremer;Bayer Giants Leverkusen;A;Combo;2006;6;135.2;89.8;87.2;2.6;-0.1;0.5;0.4;2.0;0.1;0.4;0.4;0.12;20.2
Jasper Brand;Sartorius Juniors;A;Forward;2005;3;69.5;128.7;112.2;16.6;-1.5;-0.3;-1.8;0.5;0.3;0.0;0.3;0.15;20.0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;6;91.5;82.9;84.9;-2.0;-3.8;-1.1;-4.9;-1.5;-0.1;0.3;0.2;0.07;19.9
Ruomi Walter;Berlin Braves Baskets;A;Combo;2006;3;45.7;91.6;102.4;-10.7;-4.3;0.2;-4.1;-0.5;0.0;0.0;0.0;0.03;19.8
Tim Schnelle;Bayer Giants Leverkusen;A;Big;2006;6;97.1;104.1;86.6;17.5;-1.4;0.0;-1.3;0.8;0.2;0.3;0.5;0.19;19.6
Martin Kalu;FC Bayern München;A;Combo;2005;5;114.3;100.2;99.4;0.8;-1.2;-0.7;-1.9;0.3;0.3;0.1;0.4;0.12;19.5
Simon Kohlhoff;Baskets Juniors Oldenburg;A;Combo;2006;7;234.2;99.8;91.3;8.5;3.6;2.5;6.1;7.6;0.3;0.6;0.9;0.15;19.4
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;2;45.3;107.4;124.9;-17.6;-3.2;0.4;-2.8;0.2;0.1;-0.1;0.0;-0.02;19.2
Ivan Volf;FC Bayern München;A;Wing;2006;5;133.9;107.0;103.5;3.5;1.2;-1.0;0.2;1.7;0.4;0.0;0.4;0.12;19.2
Viktor Ludviksson;UBC Münster;A;Forward;2006;3;92.8;89.9;87.8;2.1;-1.5;1.0;-0.5;1.2;0.1;0.2;0.3;0.11;19.1
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;8;136.3;115.6;93.9;21.7;0.2;-1.1;-0.9;1.0;0.4;0.3;0.6;0.19;19.0
Dorian Grosber;Alba Berlin;A;Combo;2006;3;61.4;90.5;101.2;-10.7;-1.9;0.2;-1.7;0.7;0.0;0.0;0.1;0.03;18.9
Simon Feneberg;Tornados Franken;A;Combo;2005;3;106.9;78.4;90.2;-11.8;-0.7;0.8;0.0;1.4;-0.2;0.2;0.0;0.00;18.9
Philipp Roos;KICKZ IBAM;A;Forward;2005;3;69.2;140.1;112.0;28.1;-1.9;0.6;-1.4;0.8;0.3;0.0;0.2;0.14;18.8
Jorke Aav;Team Urspring;A;Wing;2005;4;133.9;98.4;106.5;-8.0;0.2;-0.5;-0.4;1.2;0.2;0.0;0.2;0.06;18.8
Mathéo Hermann;Alba Berlin;A;Combo;2007;4;78.4;92.0;88.2;3.8;-1.8;0.3;-1.5;0.7;0.1;0.2;0.2;0.12;18.7
