PLAYER;TEAM;DIV;POS;ROLE;BORN;GP;MP;EFG%;TOV%;ORB%;FT-RATE;EF;EF/Gm;PER;WS;WS/40
Denzel Mota;Bamberg freakcity academy;A;Combo;Neutral;2007;10;167.2;31.8;17.4;3.3;13.6;33;3.3;7.4;-0.2;-0.04
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;A;Combo;Receiver;2006;3;63.5;34.8;22.6;3.9;21.7;7;2.3;7.3;-0.4;-0.27
Wilko Dickgiesser;HAKRO Merlins Crailsheim;B;Forward;Neutral;2005;9;236.3;35.6;34.6;5.3;24.4;55;6.1;7.3;-0.3;-0.06
Lars Kauffmann;Team Südhessen;B;Point;Neutral;2005;6;29.2;38.9;18.2;0.0;0.0;3;0.5;7.3;-0.1;-0.07
Benno Wolf;Bamberg freakcity academy;A;Forward;Receiver;2006;11;198.5;37.8;16.7;5.8;8.9;42;3.8;7.2;-0.5;-0.10
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;A;Wing;Neutral;2005;9;162.7;33.9;24.6;3.8;17.9;26;2.9;7.1;-0.4;-0.10
Ruben Köster;Baskets Juniors Oldenburg;A;Wing;Receiver;2006;4;30.2;28.6;16.0;14.7;14.3;4;1.0;7.1;0.0;0.00
Henri Hense;ratiopharm Ulm;B;Combo;Neutral;2006;6;58.3;40.0;31.8;1.8;0.0;10;1.7;6.9;0.1;0.09
Mattia Probst;Team Urspring;A;Combo;Receiver;2005;1;7.7;0.0;25.8;14.9;50.0;1;1.0;6.8;0.0;-0.02
Manuel Ebert;TG Hanau;B;Wing;Neutral;2005;7;77.6;46.9;28.3;4.3;18.8;13;1.9;6.8;-0.2;-0.09
Maximilian Leinweber;Orange Academy;B;Combo;Neutral;2006;8;130.7;42.5;35.6;4.9;10.0;22;2.8;6.7;0.0;0.00
Panagiotis Mousionis;Phoenix Hagen;B;Wing;Neutral;2007;7;114.3;30.4;15.3;4.8;14.3;16;2.3;6.7;-0.3;-0.10
Mats Classen;Phoenix Hagen;B;Forward;Receiver;2006;7;130.6;26.7;18.5;8.8;6.7;32;4.6;6.7;-0.1;-0.04
Gustav Kringel;Rostock Seawolves;B;Wing;Receiver;2007;6;157.9;31.3;33.7;5.6;45.8;29;4.8;6.7;-0.1;-0.03
David Sann;ROTH Energie BBA GIESSEN 46ers;A;Combo;Neutral;2005;11;264.5;40.0;23.1;1.6;16.7;18;1.6;6.5;-1.2;-0.18
Jonas Groß;Young Rasta Dragons;A;Point;Receiver;2005;8;110.6;35.5;22.8;6.1;5.3;9;1.1;6.5;-0.1;-0.02
Bar Amiel;Bamberg freakcity academy;A;Combo;Neutral;2007;9;117.2;47.6;26.4;1.0;4.9;9;1.0;6.3;-0.5;-0.16
Nikita Boshenko;Orange Academy;B;Wing;Receiver;2007;9;170.9;32.3;15.4;1.9;22.9;19;2.1;6.3;0.1;0.01
Joel Hamid Muschkewitz;SG Junior Löwen Braunschweig;B;Combo;Neutral;2006;10;299.6;35.0;34.5;5.7;18.0;50;5.0;6.3;-0.2;-0.03
Semen Plachkov;BBA Hagen;B;Combo;Neutral;2006;4;40.4;40.0;40.5;7.9;30.0;7;1.8;6.3;-0.2;-0.22
Maj Dolinsek;KICKZ IBAM;A;Forward;Receiver;2006;2;22.3;41.7;12.7;0.0;0.0;4;2.0;6.3;0.0;-0.02
Finn Paris;Baskets Paderborn;A;Combo;Receiver;2006;12;194.7;30.0;42.1;5.1;33.3;39;3.3;6.3;-0.3;-0.06
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;A;Combo;Receiver;2007;8;101.7;39.5;24.1;3.2;15.8;13;1.6;6.2;-0.3;-0.13
Felix Egger;Bamberg freakcity academy;A;Wing;Neutral;2008;2;8.7;0.0;99.9;12.3;0.0;2;1.0;6.1;0.0;-0.18
Lukas Ophelders;Metropol Baskets Ruhr;B;Point;Neutral;2007;5;60.0;50.0;46.9;6.7;17.6;9;1.8;6.1;-0.2;-0.15
Nikolaos Dellis;ART Giants Düsseldorf;B;Forward;Neutral;2005;3;64.5;32.6;22.9;6.1;17.4;11;3.7;6.0;-0.3;-0.19
Leo Kirchhoff;UBC Münster;A;Point;Neutral;2007;11;73.2;35.7;49.0;4.5;64.3;12;1.1;5.8;-0.3;-0.16
Dirk Schmidt;Basketball Löwen Erfurt;B;Combo;Receiver;2006;4;29.0;37.5;33.3;6.4;0.0;5;1.3;5.8;0.0;0.00
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;A;Wing;Receiver;2006;8;71.7;40.9;22.7;1.5;27.3;9;1.1;5.7;-0.2;-0.12
Kolja Meier;SG Junior Löwen Braunschweig;B;Forward;Receiver;2005;10;84.1;30.0;25.4;13.1;30.0;15;1.5;5.7;0.0;0.02
Kevin Tobias;BBA Giants Kornwestheim;B;Combo;Receiver;2006;5;32.5;37.5;42.8;3.4;0.0;5;1.0;5.7;0.0;-0.05
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;A;Forward;Receiver;2006;9;181.7;31.0;24.2;4.2;9.5;31;3.4;5.7;-0.6;-0.12
Paul Schmidt;Tornados Franken;B;Forward;Receiver;2006;12;121.9;25.0;19.3;8.5;16.7;22;1.8;5.4;0.0;0.00
Cornelius Meinel;Medipolis SC Jena;A;Combo;Receiver;2006;8;90.4;45.8;50.4;6.3;25.0;18;2.3;5.4;-0.1;-0.03
Jeremiah Osei;Phoenix Hagen;B;Combo;Neutral;2007;2;14.5;50.0;50.0;0.0;0.0;2;1.0;5.3;-0.1;-0.27
Jaden Brown;Würzburg Baskets Akademie;B;Combo;Neutral;2007;9;174.5;38.4;34.8;1.4;27.9;26;2.9;5.2;-0.3;-0.07
Leo König;VfL Kirchheim Knights;B;Combo;Receiver;2005;10;147.5;34.3;16.2;2.2;2.0;10;1.0;5.1;-0.3;-0.09
Alfred Milatz;Niners Chemnitz Academy;A;Combo;Receiver;2006;12;247.6;24.4;32.3;5.3;20.5;32;2.7;5.0;-0.8;-0.13
Milan Scharf;RheinStars Köln;B;Wing;Neutral;2008;2;20.4;28.6;30.0;7.3;0.0;5;2.5;4.9;0.0;-0.10
David Omoregie;HAKRO Merlins Crailsheim;B;Combo;Neutral;2007;9;239.2;50.0;51.0;1.6;11.1;40;4.4;4.9;-0.3;-0.05
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;A;Combo;Receiver;2005;5;100.6;20.8;10.1;3.4;8.3;9;1.8;4.8;-0.4;-0.14
Damarae Osazuwa Simson;Eisbären Bremerhaven;A;Combo;Creator;2007;12;331.9;38.8;37.2;2.5;27.1;39;3.3;4.8;-1.9;-0.23
Jamie Alexander Köster;BBA Hagen;B;Forward;Receiver;2007;3;35.6;25.0;20.0;2.9;0.0;5;1.7;4.8;-0.1;-0.12
Luis Sziede;VfL Kirchheim Knights;B;Forward;Receiver;2005;12;206.9;30.5;22.3;5.5;4.9;35;2.9;4.8;-0.2;-0.04
Vuk Scepanovic;Team Bonn/Rhöndorf;B;Combo;Receiver;2007;5;62.1;35.2;18.2;1.6;0.0;5;1.0;4.8;0.0;-0.03
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;A;Combo;Receiver;2008;6;41.3;37.5;27.3;5.2;0.0;6;1.0;4.7;-0.1;-0.14
Oliver Gradel;SG Junior Löwen Braunschweig;B;Combo;Receiver;2006;8;236.9;33.0;27.5;1.0;15.9;28;3.5;4.7;-0.3;-0.06
Joshua Sievers;UBC Münster;A;Wing;Receiver;2005;12;242.8;25.6;16.6;4.3;7.5;27;2.3;4.7;-0.6;-0.10
Elijah Kolbe;USC Heidelberg;B;Big;Receiver;2005;2;14.1;0.0;0.0;7.9;0.0;4;2.0;4.6;0.0;0.04
Ole Werker;Bayer Giants Leverkusen;A;Wing;Receiver;2006;3;21.8;0.0;0.0;5.3;0.0;4;1.3;4.5;0.0;0.00
Aron Kretschmann;Rostock Seawolves;B;Wing;Receiver;2007;9;178.8;40.6;23.7;0.6;8.7;16;1.8;4.5;-0.7;-0.15
Kilian Dück;FC Bayern München;A;Big;Receiver;2008;2;14.5;16.7;0.0;18.3;16.7;2;1.0;4.5;0.0;0.06
Timon Gotsis;KICKZ IBAM;A;Point;Receiver;2007;3;48.5;16.7;33.3;2.5;0.0;8;2.7;4.4;-0.1;-0.08
Delano Miguel Juma;Niners Chemnitz Academy;A;Wing;Receiver;2006;10;166.8;39.1;32.0;1.6;21.9;21;2.1;4.2;-0.6;-0.14
Ole Schwering;UBC Münster;A;Combo;Receiver;2007;5;51.5;42.9;23.7;2.3;14.3;3;0.6;4.2;-0.1;-0.07
Quirin Koller;TS Jahn München;B;Combo;Receiver;2005;7;78.8;25.0;25.7;6.3;0.0;9;1.3;4.0;-0.1;-0.07
Stefan Rankovic;Phoenix Hagen;B;Forward;Neutral;2005;4;35.1;35.0;27.0;0.0;30.0;4;1.0;4.0;-0.1;-0.14
Tarik Ouro-Djobo;TS Jahn München;B;Big;Receiver;2007;5;36.2;44.4;41.4;20.1;0.0;8;1.6;4.0;-0.1;-0.16
Meverick Falkenberg;Basketball Löwen Erfurt;B;Forward;Receiver;2007;7;65.5;37.5;40.3;8.8;0.0;10;1.4;4.0;-0.1;-0.07
Jan Jesgarzewski;Eisbären Bremerhaven;A;Forward;Receiver;2006;7;75.3;35.7;32.3;7.7;35.7;8;1.1;3.9;-0.4;-0.23
Nicolas Deetjen;Team Südhessen;B;Wing;Receiver;2007;6;85.9;37.5;40.0;6.4;0.0;10;1.7;3.9;-0.1;-0.05
Felix Bolkart;ratiopharm Ulm;B;Combo;Receiver;2006;5;68.3;30.0;20.9;1.6;20.0;3;0.6;3.9;0.0;-0.01
Tim Rothämel;Medipolis SC Jena;A;Point;Neutral;2006;5;41.3;33.3;44.7;5.6;66.7;6;1.2;3.7;0.0;-0.04
Nevio Kwasny;SG Junior Löwen Braunschweig;B;Wing;Receiver;2006;5;41.5;40.0;22.3;0.0;10.0;3;0.6;3.6;0.0;0.01
Saliou Diouf;Phoenix Hagen;B;Forward;Receiver;2006;9;144.9;24.0;40.8;7.0;16.0;25;2.8;3.5;-0.7;-0.20
Robin Mingaz;BBA Hagen;B;Combo;Neutral;2005;1;25.6;20.0;20.3;6.4;20.0;3;3.0;3.3;-0.2;-0.31
Justus Knapp;Würzburg Baskets Akademie;B;Wing;Receiver;2005;5;32.2;40.0;14.5;0.0;0.0;3;0.6;3.3;0.0;-0.02
Luke-Johan Kiraly;Basketball Löwen Erfurt;B;Wing;Receiver;2007;10;131.0;42.1;29.1;5.3;2.6;9;0.9;3.3;-0.4;-0.13
Max Riedel;Alba Berlin;A;Combo;Receiver;2006;5;42.9;31.3;19.1;0.0;6.3;3;0.6;3.2;0.0;-0.05
Elias Bittel;Würzburg Baskets Akademie;B;Point;Neutral;2007;10;164.3;46.4;41.7;0.8;7.1;18;1.8;3.1;-0.4;-0.09
Amos Bayekula Zikengi;Phoenix Hagen;B;Point;Neutral;2006;3;60.0;45.8;33.3;2.1;0.0;5;1.7;3.0;-0.3;-0.23
Bastian Nückel;Bamberg freakcity academy;A;Combo;Receiver;2006;6;81.6;50.0;30.0;0.0;0.0;5;0.8;3.0;-0.2;-0.12
Tim Kati;ART Giants Düsseldorf;B;Forward;Receiver;2005;8;73.6;41.3;31.9;7.7;0.0;12;1.5;2.9;-0.4;-0.24
Lukas Schütz;Porsche BBA Ludwigsburg;A;Wing;Receiver;2007;8;67.0;33.3;25.5;4.7;25.0;3;0.4;2.8;-0.1;-0.05
Fabian Schwarz;VfL Kirchheim Knights;B;Point;Receiver;2006;8;35.3;30.8;22.3;0.0;23.1;-3;-0.4;2.7;-0.1;-0.15
Jules Victor Apollon Galvani;Hamburg Towers;A;Forward;Receiver;2006;4;52.0;38.9;0.0;2.2;11.1;8;2.0;2.7;0.0;0.04
Julius Kessler;ART Giants Düsseldorf;B;Forward;Receiver;2005;8;51.5;35.7;25.7;4.4;7.1;5;0.6;2.5;-0.3;-0.22
Noah Kagiso Batsile;Eisbären Bremerhaven;A;Forward;Neutral;2006;5;37.4;60.0;33.1;0.0;20.0;3;0.6;2.4;-0.2;-0.18
Maurice Reiter;Alba Berlin;A;Forward;Receiver;2006;6;32.0;37.5;33.3;3.8;0.0;4;0.7;2.4;-0.1;-0.10
Maximilian Eichbaum;Bamberg freakcity academy;A;Wing;Receiver;2007;3;38.2;36.4;35.3;11.5;0.0;4;1.3;2.3;-0.2;-0.16
Domenico-Germaine Hansmeier;Baskets Paderborn;A;Combo;Receiver;2006;9;101.9;33.3;43.6;0.0;44.4;6;0.7;2.0;-0.1;-0.06
Fabian Kayser;Baskets Paderborn;A;Combo;Neutral;2009;2;21.4;35.7;32.4;0.0;42.9;2;1.0;1.9;0.0;-0.03
Thorge Hunsche;RheinStars Köln;B;Combo;Neutral;2006;3;20.6;33.3;34.7;0.0;66.7;-1;-0.3;1.8;-0.1;-0.15
Iven Mestrovic;TG Hanau;B;Forward;Receiver;2007;5;66.6;33.3;21.0;1.6;0.0;6;1.2;1.8;-0.4;-0.23
Jonas Keil;HAKRO Merlins Crailsheim;B;Wing;Receiver;2005;9;178.2;33.9;43.2;5.5;25.8;16;1.8;1.7;-0.7;-0.16
Mihailo Drinic;Tornados Franken;B;Point;Receiver;2006;7;85.4;38.1;30.0;1.3;0.0;3;0.4;1.7;0.0;-0.01
Nils Hensel;Team Südhessen;B;Wing;Receiver;2006;3;47.6;27.3;22.1;6.6;13.6;-2;-0.7;1.7;-0.4;-0.31
Julius Lehmann;Niners Chemnitz Academy;A;Wing;Receiver;2007;1;15.3;0.0;0.0;0.0;0.0;0;0.0;1.7;0.0;-0.12
Vaclav Nosek;Team Urspring;A;Wing;Receiver;2008;1;1.8;0.0;0.0;0.0;0.0;0;0.0;1.7;0.0;-0.22
Enrico Wandt;Rostock Seawolves;B;Forward;Receiver;2006;2;14.5;0.0;0.0;7.6;0.0;1;0.5;1.7;0.0;-0.10
Oskar Sandmann;Dresden Titans;B;Wing;Receiver;2006;10;209.5;27.8;24.4;5.3;11.1;7;0.7;1.6;-0.8;-0.14
Laurens Rieping;UBC Münster;A;Combo;Receiver;2007;4;24.5;27.8;18.2;4.3;0.0;-1;-0.3;1.6;-0.1;-0.15
Martin Kalu;FC Bayern München;A;Wing;Receiver;2005;2;56.4;22.0;24.0;2.2;28.0;5;2.5;1.4;-0.3;-0.24
Malik Karaboue;ART Giants Düsseldorf;B;Forward;Receiver;2005;3;23.0;33.3;50.0;5.8;0.0;5;1.7;1.3;-0.1;-0.24
Kaloyan Iskrenov Lozanov;Team Urspring;A;Combo;Neutral;2007;9;53.3;28.6;55.6;6.2;57.1;9;1.0;1.3;-0.1;-0.11
Barnabas Bode;Eintracht Frankfurt;B;Combo;Receiver;2005;5;75.7;16.7;36.8;1.5;33.3;8;1.6;1.3;0.1;0.04
Romeo Akue-Dovi;SG Junior Löwen Braunschweig;B;Forward;Receiver;2006;8;112.8;36.4;34.1;2.1;18.2;10;1.3;1.2;-0.2;-0.07
Simon Oberstadt;Berlin Braves Baskets;B;Combo;Receiver;2006;8;74.6;31.3;20.0;0.0;0.0;-2;-0.3;0.9;-0.2;-0.10
Koray Grenz;FC Bayern München;A;Forward;Receiver;2007;11;178.9;22.2;28.8;4.4;11.1;17;1.5;0.8;-0.4;-0.10
Niklas Schulz;Medipolis SC Jena;A;Combo;Receiver;2005;7;31.8;0.0;17.0;3.3;0.0;3;0.4;0.8;-0.1;-0.11
Emre Gülseckin;SG Junior Löwen Braunschweig;B;Point;Receiver;2005;7;150.2;26.3;30.6;1.6;15.0;5;0.7;0.5;-0.6;-0.17
Noah Dapaah;Tornados Franken;B;Combo;Receiver;2007;5;31.1;12.5;18.4;10.1;12.5;2;0.4;0.0;0.0;-0.01
Liam Gföllner;Alba Berlin;A;Combo;Receiver;2007;7;90.0;20.5;36.9;2.5;59.1;4;0.6;0.0;-0.2;-0.09
Luca Barthel;Würzburg Baskets Akademie;B;Point;Neutral;2008;1;2.3;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.01
Nikola Pecanac;FC Bayern München;A;Wing;Neutral;2009;1;0.4;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;-0.06
Lars Schröder;Baskets Juniors Oldenburg;A;Combo;Neutral;2007;2;3.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;-0.08
Henry Hollander;Eisbären Bremerhaven;A;Point;Neutral;2005;1;2.1;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;-0.24
Henri Dinse;TG Hanau;B;Wing;Receiver;2008;2;24.3;0.0;100.0;4.6;0.0;1;0.5;0.0;-0.1;-0.23
Eric Akem;Phoenix Hagen;B;Wing;Neutral;2007;2;3.1;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.01
Jonathan Deutsch;Niners Chemnitz Academy;A;Combo;Receiver;2007;1;3.6;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;-0.03
#4Bremerhaven;Eisbären Bremerhaven;A;Wing;Neutral;1900;1;1.8;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;-0.12
Anton Papenbreer;Basketball Löwen Erfurt;B;Forward;Receiver;2006;4;41.5;66.7;57.1;2.3;0.0;4;1.0;0.0;0.0;-0.02
Ben Hebling;KICKZ IBAM;A;Combo;Receiver;2007;4;18.7;20.0;37.5;6.0;0.0;1;0.3;-0.2;-0.1;-0.21
Roberts Spikis;Basketball Löwen Erfurt;B;Forward;Receiver;2006;4;74.2;26.1;19.5;5.8;13.0;2;0.5;-0.3;-0.3;-0.15
Clemens Bialas;Baskets Paderborn;A;Combo;Receiver;2008;4;50.5;18.8;37.1;10.9;37.5;3;0.8;-0.3;-0.3;-0.22
Niklas Zwanziger;Bamberg freakcity academy;A;Forward;Receiver;2007;4;31.0;0.0;0.0;3.7;25.0;4;1.0;-0.4;-0.1;-0.14
Armin Nahreyni;Bayer Giants Leverkusen;A;Combo;Receiver;2006;1;11.2;20.0;16.7;0.0;0.0;1;1.0;-0.4;0.0;0.04
Matteo Schultz;Medipolis SC Jena;A;Point;Receiver;2007;1;10.5;37.5;17.0;0.0;25.0;-1;-1.0;-0.7;0.0;-0.01
#7Tornados;Tornados Franken;B;Wing;Neutral;1900;1;16.9;50.0;57.1;5.6;0.0;2;2.0;-0.9;-0.1;-0.18
Dominik Kostic;BBA Giants Kornwestheim;B;Wing;Receiver;2005;8;113.7;17.2;32.0;6.9;27.6;-3;-0.4;-0.9;-0.7;-0.24
Jericho Richter;Eisbären Bremerhaven;A;Combo;Receiver;2006;8;105.1;41.7;58.0;2.2;16.7;5;0.6;-1.0;-0.5;-0.20
Schilo Kabongo;Bayer Giants Leverkusen;A;Combo;Receiver;2006;2;19.5;20.0;28.6;5.9;0.0;2;1.0;-1.0;0.0;-0.07
Jonatan Kunze;Niners Chemnitz Academy;A;Combo;Receiver;2005;7;48.7;31.3;20.0;2.6;0.0;1;0.1;-1.0;-0.2;-0.13
Ben Longerich;BBA Hagen;B;Combo;Receiver;2006;7;146.2;21.3;18.4;3.9;6.4;-4;-0.6;-1.0;-0.8;-0.22
Deniz Tasci;ratiopharm Ulm;B;Forward;Receiver;2005;4;32.5;0.0;64.4;18.9;100.0;5;1.3;-1.2;0.0;-0.04
Namik Muratovic;FC Bayern München;A;Forward;Receiver;2008;3;19.9;0.0;66.6;5.3;0.0;3;1.0;-1.4;-0.1;-0.14
Piet Jaffke;Metropol Baskets Ruhr;B;Combo;Receiver;2006;6;73.5;23.1;47.1;1.5;7.7;6;1.0;-1.8;-0.2;-0.13
Tim Heineke;USC Heidelberg;B;Combo;Receiver;2006;4;27.3;20.0;33.8;3.9;0.0;0;0.0;-2.3;-0.1;-0.21
Jonte Elias Heßling;Eisbären Bremerhaven;A;Point;Receiver;2006;2;48.7;33.3;48.1;5.2;22.2;-2;-1.0;-2.3;-0.4;-0.33
Aaron Duparrè;Basketball Löwen Erfurt;B;Wing;Receiver;2007;2;16.6;0.0;20.5;6.9;33.3;1;0.5;-2.4;-0.1;-0.28
Darren Maglocky;Eintracht Frankfurt;B;Wing;Receiver;2007;5;36.0;14.3;41.6;2.9;0.0;4;0.8;-2.6;-0.1;-0.07
Jan Pötzsch;Team Südhessen;B;Forward;Receiver;2005;7;43.5;0.0;100.0;2.5;0.0;2;0.3;-2.7;-0.1;-0.10
Gido Nanninga;Baskets Juniors Oldenburg;A;Forward;Receiver;2006;6;36.2;18.8;19.1;9.9;0.0;2;0.3;-2.8;-0.1;-0.12
Dennis Welther;BBA Giants Kornwestheim;B;Point;Neutral;2007;3;32.3;0.0;40.0;0.0;0.0;0;0.0;-3.0;-0.1;-0.17
Anton Beuermann;ART Giants Düsseldorf;B;Wing;Receiver;2006;5;32.8;33.3;50.7;0.0;33.3;0;0.0;-3.0;-0.2;-0.29
Elias Adeola;TS Jahn München;B;Wing;Neutral;2006;2;9.5;0.0;49.9;13.6;0.0;1;0.5;-3.9;-0.1;-0.24
Kalender Kalender;SG Junior Löwen Braunschweig;B;Point;Neutral;2007;5;14.8;0.0;74.9;0.0;0.0;0;0.0;-4.0;-0.1;-0.17
René Uhlmann;Metropol Baskets Ruhr;B;Forward;Receiver;2005;1;4.1;0.0;0.0;25.6;0.0;0;0.0;-4.3;0.0;-0.07
Noah-Su Drisch;Metropol Baskets Ruhr;B;Point;Receiver;2007;3;17.5;0.0;0.0;0.0;0.0;-1;-0.3;-4.3;-0.1;-0.12
Leander Klugmann;Orange Academy;B;Combo;Receiver;2007;4;37.9;50.0;57.1;0.0;0.0;-2;-0.5;-4.4;-0.1;-0.14
Thai Bui;Niners Chemnitz Academy;A;Point;Neutral;2007;2;10.7;50.0;49.9;0.0;0.0;0;0.0;-4.4;-0.1;-0.34
Moritz Renner;KICKZ IBAM;A;Combo;Receiver;2007;3;20.2;20.0;16.7;11.0;0.0;-1;-0.3;-4.7;0.0;-0.08
Mio Pablo Philipp;HAKRO Merlins Crailsheim;B;Combo;Receiver;2007;6;84.1;0.0;46.6;1.5;0.0;-4;-0.7;-5.0;-0.5;-0.25
Christos Valentin Braun;Würzburg Baskets Akademie;B;Point;Receiver;2007;9;62.3;0.0;61.5;2.0;33.3;0;0.0;-5.1;-0.4;-0.24
Robin Kurr;FC Bayern München;A;Point;Receiver;2007;3;36.8;0.0;71.4;0.0;0.0;-2;-0.7;-5.2;-0.2;-0.21
#5 Bamberg;Bamberg freakcity academy;A;Combo;Receiver;1900;1;22.9;0.0;50.0;0.0;0.0;-1;-1.0;-5.3;-0.1;-0.25
Lukas Probst;Medipolis SC Jena;A;Big;Receiver;2006;4;21.5;0.0;51.5;0.0;50.0;1;0.3;-5.3;-0.1;-0.21
Kilian Walter;Bamberg freakcity academy;A;Point;Receiver;2007;4;34.5;28.6;40.2;6.7;0.0;-2;-0.5;-5.5;-0.3;-0.36
Noah Asamoah;Alba Berlin;A;Point;Receiver;2006;1;7.4;0.0;99.9;0.0;0.0;1;1.0;-5.8;0.0;0.00
Spyridon Savvidis;TG Hanau;B;Combo;Receiver;2005;7;98.9;20.2;23.1;3.4;7.1;-13;-1.9;-5.9;-1.0;-0.40
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;A;Wing;Neutral;1900;1;18.7;38.9;41.4;0.0;11.1;-2;-2.0;-5.9;-0.2;-0.38
Tim Sauer;Bamberg freakcity academy;A;Forward;Receiver;2005;3;27.1;0.0;41.0;4.0;66.7;2;0.7;-5.9;-0.2;-0.25
Jarno Wallrafen;UBC Münster;A;Forward;Receiver;2005;2;8.4;50.0;49.9;0.0;0.0;-1;-0.5;-6.3;-0.1;-0.35
Benedikt Lediger;Würzburg Baskets Akademie;B;Combo;Receiver;2007;8;75.3;33.3;48.8;5.3;16.7;0;0.0;-6.4;-0.4;-0.22
Noah Liem;UBC Münster;A;Point;Receiver;2006;11;65.4;22.2;41.4;0.0;5.6;-8;-0.7;-7.3;-0.5;-0.33
Henning Rosemeyer;Young Rasta Dragons;A;Big;Neutral;2007;1;7.2;0.0;50.0;14.6;0.0;1;1.0;-7.6;0.0;-0.16
Niko Kaps;VfL Kirchheim Knights;B;Wing;Receiver;2006;5;29.7;15.0;23.1;3.5;0.0;-1;-0.2;-7.9;-0.2;-0.24
Ehiozogie Idemudia;Eintracht Frankfurt;B;Wing;Receiver;2007;2;14.2;0.0;0.0;0.0;0.0;-3;-1.5;-8.0;0.0;-0.09
Emanuel Alexander Layes;Orange Academy;B;Wing;Receiver;2007;5;46.1;0.0;28.6;0.0;0.0;-3;-0.6;-8.1;-0.1;-0.13
Leon Martinez;KICKZ IBAM;A;Point;Receiver;2005;2;20.1;0.0;87.1;0.0;0.0;-1;-0.5;-8.3;-0.1;-0.23
Gerry Schuder Minden;BBA Giants Kornwestheim;B;Combo;Receiver;2007;5;37.4;25.0;33.3;2.9;0.0;-4;-0.8;-8.8;-0.2;-0.19
Hafiz Esad Zor;Orange Academy;B;Forward;Receiver;2007;5;29.7;0.0;20.0;3.6;0.0;-3;-0.6;-9.1;-0.1;-0.19
Malik Linne;Berlin Braves Baskets;B;Forward;Receiver;2007;1;5.9;0.0;0.0;25.3;25.0;-2;-2.0;-9.5;0.0;-0.29
Frederik Selzer;Bayer Giants Leverkusen;A;Forward;Receiver;2006;7;50.1;14.3;54.5;2.0;28.6;-2;-0.3;-9.9;-0.3;-0.20
Ben Reinhardt;Medipolis SC Jena;A;Point;Receiver;2007;1;8.6;0.0;66.6;15.0;0.0;-1;-1.0;-10.9;-0.1;-0.55
Christian Junior Kamdom Ngayoumnou;RheinStars Köln;B;Combo;Receiver;2005;1;9.5;25.0;29.0;11.7;0.0;-2;-2.0;-11.4;-0.1;-0.40
Finn Kolschmann;Dresden Titans;B;Wing;Receiver;2007;2;11.2;0.0;0.0;0.0;0.0;-3;-1.5;-12.3;-0.1;-0.34
Milan Barukcic;Tornados Franken;B;Forward;Receiver;2007;2;12.3;0.0;34.0;8.8;33.3;-2;-1.0;-12.4;-0.1;-0.32
Viktor Vaskovskyi;Team Südhessen;B;Combo;Receiver;2005;7;39.3;20.0;44.1;5.5;20.0;-10;-1.4;-12.6;-0.4;-0.46
Daniel Christian Selck;Hamburg Towers;A;Forward;Receiver;2007;3;11.4;0.0;0.0;0.0;0.0;-1;-0.3;-13.0;0.0;-0.14
Aaron Rehberger;Young Rasta Dragons;A;Point;Receiver;2007;1;7.5;0.0;99.9;15.7;0.0;-1;-1.0;-13.4;-0.1;-0.38
Christopher Wahren;Niners Chemnitz Academy;A;Forward;Receiver;2007;5;19.3;0.0;25.4;12.8;0.0;-5;-1.0;-13.6;-0.2;-0.51
#9Alba;Alba Berlin;A;Wing;Receiver;1900;1;9.3;0.0;52.0;0.0;200.0;-3;-3.0;-13.9;-0.1;-0.45
Roman Geyer;Tornados Franken;B;Combo;Receiver;2007;1;6.0;0.0;34.7;20.7;100.0;-2;-2.0;-15.0;-0.1;-0.46
Michael Zolotko;Dresden Titans;B;Wing;Receiver;2007;6;29.4;0.0;62.0;0.0;50.0;-4;-0.7;-16.2;-0.3;-0.43
Leon Schneider;Bamberg freakcity academy;A;Forward;Receiver;2007;2;12.1;0.0;51.5;10.5;0.0;-3;-1.5;-17.3;-0.1;-0.49
Seny Thiaw;Bayer Giants Leverkusen;A;Forward;Receiver;2006;1;2.3;0.0;0.0;0.0;0.0;-1;-1.0;-18.9;0.0;-0.56
#8Köln;RheinStars Köln;B;Wing;Receiver;1900;1;2.3;0.0;0.0;0.0;0.0;-1;-1.0;-20.0;0.0;-0.32
Julian Eugene Glenewinkel;FC Bayern München;A;Wing;Receiver;2007;2;19.2;0.0;43.6;0.0;0.0;-6;-3.0;-20.4;-0.2;-0.43
