PLAYER;TEAM;DIV;POS;ROLE;BORN;GP;MP;EFG%;TOV%;ORB%;FT-RATE;EF;EF/Gm;PER;WS;WS/40
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Wing;Neutral;2005;8;113.1;50.0;32.4;7.5;61.1;39;4.9;13.8;0.3;0.10
Tyrese Leonce;Würzburg Baskets Akademie;B;Forward;Neutral;2006;7;85.3;55.6;17.5;4.3;5.6;29;4.1;13.7;0.1;0.04
Niklas Müller;Tornados Franken;B;Combo;Receiver;2006;13;193.1;43.9;12.3;5.4;7.6;40;3.1;13.7;0.4;0.08
Calin Nita;Bayer Giants Leverkusen;A;Point;Creator;2005;5;116.6;37.2;28.5;5.7;23.1;30;6.0;13.6;0.1;0.03
Jeremy Julian Kolev;KICKZ IBAM;A;Forward;Receiver;2005;14;374.6;37.9;19.2;4.3;15.0;106;7.6;13.6;0.1;0.01
Tobias Drochner;Tornados Franken;B;Combo;Neutral;2005;13;183.9;45.6;17.0;9.1;10.5;42;3.2;13.6;0.3;0.06
Aksel Laso;FC Bayern München;A;Point;Creator;2006;10;232.5;50.9;32.9;1.0;7.5;63;6.3;13.6;0.1;0.01
Finn Drescher;Phoenix Hagen;B;Combo;Creator;2007;8;148.7;42.1;17.0;2.9;7.1;29;3.6;13.6;-0.4;-0.10
Clemens Sokolov;Tornados Franken;B;Forward;Receiver;2007;11;246.9;44.9;18.7;8.1;15.3;74;6.7;13.6;0.6;0.10
Pedja Labus;Bayer Giants Leverkusen;A;Combo;Receiver;2005;3;23.1;28.6;12.5;0.0;0.0;6;2.0;13.5;0.0;0.05
Bruno Loll;Rostock Seawolves;B;Big;Receiver;2007;8;170.3;36.5;21.7;8.3;4.2;62;7.8;13.5;-0.1;-0.03
Alexander Lehmann;Baskets Paderborn;A;Forward;Receiver;2006;9;81.3;35.7;0.0;9.3;21.4;24;2.7;13.5;0.2;0.12
Sebastian Hubrich;TS Jahn München;B;Combo;Neutral;2007;2;41.1;38.2;10.3;2.4;0.0;9;4.5;13.5;0.1;0.06
Leonard Menne;Bayer Giants Leverkusen;A;Wing;Neutral;2006;11;115.3;60.7;11.4;1.9;7.1;28;2.5;13.4;0.4;0.13
Noah Spindler;Niners Chemnitz Academy;A;Point;Receiver;2007;1;12.0;37.5;0.0;0.0;0.0;2;2.0;13.3;0.0;0.02
Arshia Daniel Azami;RheinStars Köln;B;Forward;Receiver;2006;7;152.5;42.9;21.0;11.7;11.4;46;6.6;13.3;0.2;0.06
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;A;Point;Neutral;2005;1;29.3;31.3;22.0;7.4;12.5;6;6.0;13.3;-0.1;-0.18
Luis Ohrmann;BBA Hagen;B;Combo;Pure Creator;2008;6;169.2;40.0;28.5;2.3;38.0;42;7.0;13.2;-0.2;-0.06
Djairo Bernardina;Young Rasta Dragons;A;Combo;Neutral;2007;11;208.0;43.9;22.5;5.3;10.2;54;4.9;13.1;0.6;0.12
Julius Zacharias;BBA Hagen;B;Wing;Neutral;2006;7;158.7;46.3;20.5;1.8;12.5;46;6.6;12.9;0.1;0.01
Alois Mounier;VfL Kirchheim Knights;B;Combo;Neutral;2005;13;317.8;41.8;15.7;2.8;12.7;73;5.6;12.8;0.5;0.06
Marko Volf;FC Bayern München;A;Combo;Neutral;2009;2;40.6;53.1;18.8;2.9;6.3;6;3.0;12.8;-0.1;-0.13
Dario Pasternakowsky;Dresden Titans;B;Combo;Neutral;2006;8;122.4;48.9;13.0;1.8;4.3;21;2.6;12.8;0.1;0.03
Sebastian Ochudlo;Metropol Baskets Ruhr;B;Combo;Neutral;2006;5;98.1;48.6;23.7;3.8;2.9;27;5.4;12.8;0.0;-0.01
Ruomi Walter;Berlin Braves Baskets;B;Point;Neutral;2006;11;155.7;34.3;33.4;1.4;48.6;39;3.5;12.7;0.1;0.04
Leopold Schmidt;Medipolis SC Jena;A;Wing;Neutral;2007;4;46.1;45.8;27.3;8.0;16.7;15;3.8;12.7;0.1;0.11
Joel Nzube Friedrich;RheinStars Köln;B;Forward;Receiver;2007;3;24.4;37.5;20.0;9.8;0.0;6;2.0;12.7;0.0;0.00
Luca Flemming;Team Bonn/Rhöndorf;B;Wing;Neutral;2005;7;119.9;50.0;23.9;5.0;39.1;33;4.7;12.7;0.6;0.19
Philip Schneck;Team Urspring;A;Point;Neutral;2005;12;272.3;40.7;27.3;2.5;16.0;67;5.6;12.6;0.1;0.01
Henrik Rüping;BBA Hagen;B;Point;Neutral;2006;4;39.4;31.8;26.8;5.0;36.4;8;2.0;12.6;-0.1;-0.09
Friedrich Beyer;RheinStars Köln;B;Big;Receiver;2007;7;155.1;42.9;22.9;11.8;21.4;50;7.1;12.5;0.3;0.08
Ben Denkena;Baskets Juniors Oldenburg;A;Combo;Receiver;2005;5;81.8;50.0;11.6;0.0;14.3;18;3.6;12.5;0.3;0.15
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Combo;Creator;2007;12;177.0;71.7;35.3;1.9;20.0;45;3.8;12.4;0.3;0.07
Jakob Baur;Team Urspring;A;Combo;Neutral;2006;6;34.5;70.0;37.5;10.4;0.0;12;2.0;12.4;0.1;0.13
Luis Klöpzig;Dresden Titans;B;Forward;Neutral;2005;10;195.1;32.7;25.3;15.3;25.5;59;5.9;12.2;-0.3;-0.06
Nicolas Pritz;Team Bonn/Rhöndorf;B;Wing;Neutral;2006;12;211.3;41.1;25.7;3.3;39.3;53;4.4;12.2;0.5;0.09
Luis Uhlenbrock;Phoenix Hagen;B;Combo;Neutral;2005;7;204.0;48.7;27.4;2.8;28.9;42;6.0;12.2;0.0;0.00
Ben Groß;TG Hanau;B;Combo;Neutral;2006;4;87.6;39.4;10.4;0.0;6.1;14;3.5;12.2;-0.2;-0.11
Danis Salkovic;TG Hanau;B;Wing;Neutral;2005;9;193.4;43.6;19.0;2.4;9.0;41;4.6;12.2;-0.5;-0.11
Christopher Wersien;Eisbären Bremerhaven;A;Combo;Creator;2005;10;123.4;40.9;24.5;4.8;27.3;34;3.4;12.1;-0.1;-0.02
Leonard Dertmann;UBC Münster;A;Forward;Receiver;2007;8;148.2;75.0;36.6;7.8;75.0;42;5.3;12.0;0.2;0.05
Matthes Weitkamp;Basketball Löwen Erfurt;B;Wing;Neutral;2006;1;3.4;0.0;0.0;0.0;0.0;1;1.0;12.0;0.0;0.05
Nicolas Hofmann;Team Bonn/Rhöndorf;B;Wing;Receiver;2007;2;31.4;22.2;8.2;4.3;33.3;7;3.5;11.9;0.2;0.23
Alejandro Ruano Garayoa;ART Giants Düsseldorf;B;Wing;Neutral;2007;5;95.8;43.8;20.3;11.5;29.2;19;3.8;11.8;-0.2;-0.07
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;A;Combo;Receiver;2008;1;24.9;43.8;0.0;0.0;0.0;4;4.0;11.8;-0.1;-0.10
Samuel Kurr;BBA Giants Kornwestheim;B;Point;Creator;2006;10;220.9;52.0;43.8;3.1;12.2;55;5.5;11.8;-0.2;-0.04
Eduard Rantz;FC Bayern München;A;Forward;Receiver;2007;9;96.9;46.9;19.3;10.6;43.8;28;3.1;11.8;0.1;0.04
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;A;Forward;Receiver;2007;9;72.6;30.8;23.7;10.9;23.1;18;2.0;11.6;-0.1;-0.08
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;Receiver;2006;8;66.4;38.2;26.1;8.0;0.0;21;2.6;11.6;0.1;0.08
Maceo Gulich;BBA Hagen;B;Combo;Neutral;2005;2;15.1;25.0;0.0;7.7;0.0;3;1.5;11.5;0.0;0.02
Justus Waller;Hamburg Towers;A;Combo;Receiver;2005;13;296.9;37.9;17.1;4.4;3.2;62;4.8;11.5;0.2;0.03
Nicolas Lehmann;Team Südhessen;B;Combo;Neutral;2005;10;168.9;58.3;26.9;1.9;0.0;39;3.9;11.4;0.2;0.04
Tim Schnelle;Bayer Giants Leverkusen;A;Forward;Receiver;2006;14;262.3;38.6;17.4;5.7;14.0;73;5.2;11.4;0.5;0.07
Maximilian Peters;Eintracht Frankfurt;B;Forward;Receiver;2007;9;87.3;50.0;31.2;5.8;15.8;23;2.6;11.3;0.2;0.07
Jakob Käufler;Orange Academy;B;Wing;Neutral;2007;6;108.7;35.2;22.5;3.1;25.9;28;4.7;11.3;0.1;0.06
Simon Rentz;Metropol Baskets Ruhr;B;Point;Neutral;2007;3;31.4;40.0;16.7;12.1;0.0;9;3.0;11.3;0.1;0.10
Lukas Wiegeler;UBC Münster;A;Wing;Receiver;2007;13;212.8;45.7;13.2;5.6;19.6;43;3.3;11.3;0.2;0.04
Saro Pisacane;Bamberg freakcity academy;A;Point;Neutral;2006;4;37.3;46.4;31.3;0.0;14.3;8;2.0;11.3;-0.2;-0.22
Jonas Mendl;Bamberg freakcity academy;A;Wing;Neutral;2008;3;45.0;44.4;23.3;2.5;22.2;11;3.7;11.2;0.0;-0.02
Paul Zaschel;Team Südhessen;B;Forward;Neutral;2005;10;300.7;41.8;19.5;2.5;11.0;72;7.2;11.1;0.1;0.01
Lennox Groh;UBC Münster;A;Combo;Receiver;2006;11;186.1;35.0;17.8;1.7;14.0;38;3.5;11.1;0.0;-0.01
Anton Haverkamp;UBC Münster;A;Big;Receiver;2006;2;6.0;0.0;0.0;23.0;0.0;2;1.0;11.1;0.0;0.04
Timon Hoffmann;Baskets Paderborn;A;Forward;Receiver;2006;10;105.5;46.7;18.5;10.0;26.7;27;2.7;11.1;0.2;0.07
Justus Frische;TS Jahn München;B;Wing;Neutral;2006;7;131.8;39.6;18.4;2.5;12.5;27;3.9;11.1;0.1;0.02
Timo Wachsmuth;Bamberg freakcity academy;A;Forward;Receiver;2005;8;70.5;36.4;12.8;9.7;45.5;19;2.4;11.1;0.0;-0.01
Karl Heinz Kleine Holthaus;Young Rasta Dragons;A;Combo;Neutral;2007;3;29.4;31.3;18.4;7.2;25.0;6;2.0;11.0;0.1;0.12
Mathieu Adovi-Ley;Hamburg Towers;A;Big;Receiver;2006;10;111.9;33.3;20.5;9.6;41.7;40;4.0;10.9;0.3;0.10
Julijo Kendes;Team Urspring;A;Combo;Receiver;2006;13;177.8;39.8;12.6;3.8;11.9;29;2.2;10.9;0.3;0.07
Jan Mausolf;Bamberg freakcity academy;A;Point;Neutral;2005;3;40.8;112.5;63.6;2.9;0.0;10;3.3;10.7;-0.2;-0.19
Christian Felix Meine;ratiopharm Ulm;B;Forward;Receiver;2006;4;32.6;60.0;16.7;0.0;0.0;9;2.3;10.7;0.1;0.10
Filip Vozar;Würzburg Baskets Akademie;B;Wing;Neutral;2007;8;121.7;48.1;21.3;5.6;15.4;25;3.1;10.6;0.0;0.01
Teis Hümmels;Sartorius Juniors;B;Forward;Receiver;2005;11;86.3;40.0;17.3;12.7;25.0;25;2.3;10.6;0.3;0.12
Tidiane Ly;Berlin Braves Baskets;B;Point;Neutral;2006;7;65.2;50.0;40.6;0.0;42.9;13;1.9;10.4;0.1;0.08
Moritz Herbst;TS Jahn München;B;Point;Neutral;2005;8;154.9;25.8;30.3;4.3;33.3;30;3.8;10.4;-0.1;-0.02
Kayaan Yeboah;Orange Academy;B;Wing;Receiver;2008;5;84.0;33.3;16.2;3.7;12.1;15;3.0;10.4;0.0;0.01
Epke Kruthaup;Young Rasta Dragons;A;Point;Neutral;2008;10;218.3;34.5;23.6;2.1;26.8;35;3.5;10.4;0.3;0.05
Marko Petric;Young Rasta Dragons;A;Wing;Neutral;2008;8;161.4;47.3;25.4;2.8;5.4;27;3.4;10.3;0.1;0.02
Luca May;Medipolis SC Jena;A;Wing;Receiver;2006;12;239.7;43.6;23.3;2.9;36.2;56;4.7;10.2;0.4;0.07
Jefferson Hey;Basketball Löwen Erfurt;B;Combo;Neutral;2005;10;246.3;40.1;22.4;2.4;5.9;55;5.5;10.2;-0.4;-0.06
Jeremie Fotso Sighom;Basketball Löwen Erfurt;B;Forward;Receiver;2008;5;79.3;34.2;19.7;9.1;10.5;25;5.0;10.2;0.0;0.02
