PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Valon Krasniqi;RheinStars Köln;B;Point;2005;10;263.5;97.8;9.8;11.2;10.1;33.4;2.7;4.9;3.4;0.0;21.1;55.2
Tim Otto;Medipolis SC Jena;A;Forward;2005;12;255.6;95.0;7.9;7.4;4.1;10.9;0.8;13.0;2.3;3.1;20.0;61.8
Lennard Glowka;Niners Chemnitz Academy;A;Combo;2006;10;293.4;94.3;9.4;12.0;4.6;13.5;0.8;5.7;2.5;1.2;27.8;64.3
Alan De Vries;TS Jahn München;B;Wing;2005;10;308.3;94.1;9.4;13.7;3.1;8.7;0.9;7.1;3.0;0.3;25.1;52.8
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;14;290.4;93.8;6.7;6.3;1.1;2.9;0.2;16.3;1.3;3.5;20.1;61.3
Joel Mbappou;Berlin Braves Baskets;B;Big;2005;12;240.6;93.8;7.8;8.6;5.5;15.5;0.8;16.0;2.1;6.5;23.0;51.8
Pablo Schmidt;Tornados Franken;B;Big;2005;12;269.6;92.9;7.7;5.8;2.7;6.8;0.4;17.6;1.6;2.6;23.6;52.0
Oumar Bamba;Team Bonn/Rhöndorf;B;Big;2006;10;163.6;92.6;9.3;10.1;0.7;1.8;0.1;36.2;3.0;5.4;27.0;61.2
David Koch;Bayer Giants Leverkusen;A;Wing;2005;13;336.0;92.0;7.1;10.2;3.1;7.7;0.7;8.3;2.1;0.9;25.8;50.2
Namori Omog;Eintracht Frankfurt;B;Combo;2006;13;290.1;91.0;7.0;8.1;8.6;26.0;1.2;9.6;4.5;1.7;22.0;47.4
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;14;364.5;89.6;6.4;5.4;5.5;15.4;0.8;7.7;4.3;4.0;15.1;52.0
Matteo Petters;FC Bayern München;A;Big;2006;11;249.9;89.1;8.1;7.8;5.1;13.4;0.6;15.1;2.3;4.3;14.1;61.4
Yannis Steger;Bayer Giants Leverkusen;A;Big;2005;14;250.9;88.1;6.3;6.5;2.5;6.2;0.3;13.5;2.9;7.5;15.1;61.6
Barna Gergö Buglyo;ratiopharm Ulm;B;Forward;2006;11;237.3;87.9;8.0;8.4;5.6;15.6;1.1;12.7;3.0;1.3;19.3;57.5
Marko Rosic;Team Bonn/Rhöndorf;B;Point;2005;8;223.0;87.8;11.0;15.3;8.6;25.0;2.8;6.8;1.8;0.0;25.4;55.2
Jannis Rümer;Bamberg freakcity academy;A;Wing;2005;11;289.9;87.3;7.9;8.2;4.0;10.9;1.1;10.6;1.7;0.6;24.4;51.3
Jasper Brand;Sartorius Juniors;B;Forward;2005;11;206.8;86.6;7.9;7.9;6.8;19.3;3.1;12.0;2.6;2.9;21.2;52.1
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;13;324.6;86.5;6.7;6.0;9.6;29.6;1.1;7.7;3.4;2.5;14.5;56.3
Jonas Zilinskas;ratiopharm Ulm;B;Forward;2006;9;212.4;86.3;9.6;8.3;7.0;20.6;1.4;16.9;2.4;4.2;19.9;48.3
Nelson Martin;Hamburg Towers;A;Point;2006;13;292.0;85.6;6.6;8.9;8.5;25.8;1.3;10.7;5.7;0.0;28.7;43.7
Lazar Klaric;Baskets Juniors Oldenburg;A;Forward;2006;10;184.7;84.4;8.4;7.7;8.3;24.8;2.2;21.3;4.1;1.8;22.5;49.1
Oliver Kullamäe;Orange Academy;B;Point;2007;8;245.3;83.4;10.4;14.7;10.6;34.4;1.4;5.8;5.4;0.4;25.9;50.0
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;14;309.1;82.3;5.9;6.5;8.8;26.7;1.2;12.5;2.3;1.1;14.7;54.7
Jakub Klobusiak;Niners Chemnitz Academy;A;Forward;2005;13;322.2;82.3;6.3;6.7;5.1;14.8;0.8;13.0;0.8;0.8;14.7;61.9
Gaston Nguyen Manh;Sartorius Juniors;B;Point;2008;11;295.0;81.5;7.4;8.3;9.4;28.3;1.7;3.4;2.0;0.0;17.1;62.4
Anton Meyer;Eisbären Bremerhaven;A;Combo;2005;13;440.6;81.4;6.3;7.2;6.8;18.4;0.8;8.6;3.6;0.0;26.4;43.3
Leonar Fliege;Basketball Löwen Erfurt;B;Forward;2007;10;254.1;81.1;8.1;5.9;7.0;18.3;0.7;12.4;1.8;6.0;12.2;52.8
Miran Evin;Baskets Juniors Oldenburg;A;Combo;2006;13;345.4;80.9;6.2;7.7;6.6;19.2;1.2;7.2;1.6;0.3;21.1;54.2
Mats Niggemann;UBC Münster;A;Wing;2005;10;266.3;80.8;8.1;9.3;4.8;12.9;0.9;12.1;3.1;0.3;21.0;50.4
Benedict Baumgarth;Metropol Baskets Ruhr;B;Forward;2006;8;195.7;80.8;10.1;9.7;4.1;10.5;0.6;14.7;1.7;4.6;20.5;61.3
