PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Felix Sinning;TG Hanau;B;Forward;2007;9;204.7;49.6;5.5;5.0;5.5;15.5;0.6;13.7;1.7;0.9;11.9;62.8
Noah Popescu;BBA Giants Kornwestheim;B;Wing;2006;10;342.1;48.3;4.8;5.2;3.3;9.2;0.6;7.1;3.5;1.1;28.9;45.2
Alois Mounier;VfL Kirchheim Knights;B;Combo;2005;13;317.8;48.0;3.7;3.7;8.1;25.9;1.8;5.1;1.8;0.3;13.9;44.5
Filip Nikolov;USC Heidelberg;B;Point;2006;10;270.5;48.0;4.8;5.7;6.0;15.9;0.6;5.4;2.8;0.0;20.5;59.1
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;9;185.6;47.9;5.3;5.6;1.1;2.7;0.2;18.4;2.5;1.3;24.5;43.9
David Jovanovic;TS Jahn München;B;Forward;2007;10;194.8;47.9;4.8;4.5;3.9;11.2;1.4;9.6;4.3;2.7;13.6;45.5
Paul Göpffahrt;TS Jahn München;B;Forward;2005;9;162.4;47.3;5.3;5.9;5.0;14.4;1.0;13.8;1.3;1.9;19.5;49.7
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;10;193.1;47.3;4.7;1.9;4.2;10.9;0.6;14.7;5.8;4.2;21.4;39.2
Maximilian Waimann;Metropol Baskets Ruhr;B;Point;2007;8;190.3;46.6;5.8;6.8;8.2;23.0;1.7;2.4;2.7;0.0;17.2;59.3
Milio-Leandro Stein;SG Junior Löwen Braunschweig;B;Point;2005;6;141.1;46.3;7.7;9.0;5.1;14.8;1.4;3.8;5.2;0.7;14.3;73.9
Tim-Felix Bühren;Young Rasta Dragons;A;Big;2005;12;144.5;46.1;3.8;3.9;3.2;8.7;0.6;19.6;2.5;1.3;16.4;45.3
Erik Neunhöffer;Team Südhessen;B;Forward;2006;10;253.7;46.1;4.6;4.9;2.1;5.2;0.2;12.2;2.8;2.0;24.8;48.6
Bruno Loll;Rostock Seawolves;B;Big;2007;8;170.3;46.0;5.8;4.9;4.5;12.0;0.6;17.5;1.7;4.2;16.2;36.7
Ludwig Hassler;Dresden Titans;B;Forward;2005;3;89.7;45.9;15.3;22.5;4.6;13.2;0.6;21.4;5.2;2.2;28.2;59.2
Lars Danziger;RheinStars Köln;B;Combo;2008;7;135.8;45.6;6.5;7.9;7.7;24.8;1.3;12.5;3.6;0.0;21.8;50.0
Clemens Sokolov;Tornados Franken;B;Forward;2007;11;246.9;45.3;4.1;3.3;2.8;7.3;0.4;9.2;1.4;3.7;13.3;48.0
Colin Hartig;Niners Chemnitz Academy;A;Forward;2005;13;191.2;45.1;3.5;3.0;6.2;18.6;0.8;14.1;3.0;0.9;14.8;50.4
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;12;228.8;45.1;3.8;4.3;5.1;14.2;0.7;5.1;3.6;0.0;17.3;60.5
Darijo Kopilovic;Berlin Braves Baskets;B;Wing;2007;12;136.9;45.1;3.8;4.2;4.8;13.1;1.3;11.2;4.3;0.8;22.5;48.3
Tim Schnelle;Bayer Giants Leverkusen;A;Forward;2006;14;262.3;44.9;3.2;2.4;5.4;14.4;0.9;10.3;2.4;3.4;12.2;39.8
Jayden Estrus Jr. Fatnassi;Hamburg Towers;A;Wing;2007;11;167.7;44.8;4.1;4.8;3.3;9.0;0.6;11.1;2.5;0.6;14.2;57.8
Yannick Mogalle;Bamberg freakcity academy;A;Forward;2006;11;183.2;44.3;4.0;3.1;5.0;13.8;0.8;10.2;2.2;3.3;16.4;51.8
Malte Schröder;Metropol Baskets Ruhr;B;Wing;2005;8;164.1;43.9;5.5;6.4;2.8;7.1;0.4;8.8;3.2;2.8;20.2;57.5
Colin Schuler;USC Heidelberg;B;Wing;2005;10;182.0;43.9;4.4;4.9;5.2;13.6;1.4;5.4;1.6;0.5;15.7;58.6
Felix Stoll;Orange Academy;B;Forward;2007;7;134.5;43.4;6.2;5.4;3.0;8.2;1.0;13.1;1.9;4.8;19.3;46.6
Aksel Laso;FC Bayern München;A;Point;2006;10;232.5;43.4;4.3;4.2;11.9;37.9;1.3;5.0;3.2;0.0;15.2;51.2
Finley Prüver;Eintracht Frankfurt;B;Wing;2006;12;168.4;42.8;3.6;3.8;4.7;13.0;0.8;8.1;3.0;0.0;12.6;63.4
Philipp Roos;KICKZ IBAM;A;Forward;2005;10;206.5;42.6;4.3;3.4;2.7;7.5;0.4;12.1;1.3;1.5;16.8;57.1
Joel Cwik;ratiopharm Ulm;B;Combo;2006;6;120.4;42.5;7.1;8.4;5.6;15.9;0.9;4.6;3.4;0.8;26.8;62.3
Ivan Volf;FC Bayern München;A;Wing;2006;4;125.3;41.8;10.4;9.2;8.3;23.9;1.6;11.0;3.9;2.2;21.0;44.0
Vincent Dahms;ART Giants Düsseldorf;B;Combo;2005;8;247.0;41.3;5.2;6.0;2.5;6.9;0.5;5.5;3.2;0.0;20.5;50.3
Milo Alexander Murray;Orange Academy;B;Wing;2007;9;243.6;41.1;4.6;7.7;4.0;11.0;0.5;8.1;1.9;0.4;25.3;47.5
Dusan Ilic;BBA Hagen;B;Point;2008;5;167.0;41.0;8.2;12.3;6.0;18.3;1.3;5.3;4.2;0.0;35.1;44.6
Jervis Scheffs;ratiopharm Ulm;B;Combo;2007;5;120.0;40.9;8.2;8.9;6.2;17.4;1.2;9.3;2.9;0.0;24.0;54.9
Kilian Hammer;BBA Giants Kornwestheim;B;Big;2006;9;143.7;40.6;4.5;4.4;5.2;15.1;0.5;19.1;1.8;0.6;15.5;57.5
Simon Maximilian Kley;Team Bonn/Rhöndorf;B;Forward;2006;10;169.5;40.5;4.1;3.1;4.7;12.4;0.6;15.5;1.7;2.7;16.5;44.8
Paul Zaschel;Team Südhessen;B;Forward;2005;10;300.7;40.5;4.1;3.7;5.5;14.9;0.8;6.7;2.4;2.3;13.6;44.3
Till Gerdes;BBA Hagen;B;Big;2005;8;146.6;40.5;5.1;5.3;0.8;2.0;0.1;12.1;1.0;2.3;13.9;65.2
Phil Härtl;Phoenix Hagen;B;Forward;2007;9;187.1;40.4;4.5;5.1;2.7;7.2;0.4;10.9;1.4;0.8;19.4;54.1
Maxwell Revell;Eisbären Bremerhaven;A;Forward;2007;10;253.5;40.0;4.0;4.8;2.1;5.2;0.2;10.0;1.3;1.3;25.7;51.4
Philip Schneck;Team Urspring;A;Point;2005;12;272.3;39.9;3.3;2.3;8.9;28.6;1.1;7.2;4.3;0.4;19.3;42.1
Max Emil Weber;Baskets Paderborn;A;Forward;2006;10;191.6;39.9;4.0;3.8;2.2;5.8;0.6;7.6;1.9;0.9;15.8;53.0
Thomas Negga;VfL Kirchheim Knights;B;Point;2005;14;147.2;39.8;2.8;2.7;10.8;36.6;1.7;6.8;3.9;0.0;17.7;51.3
Neil Schwanenberg;VfL Kirchheim Knights;B;Wing;2006;12;221.2;39.5;3.3;3.2;3.8;10.9;0.5;7.7;2.6;0.9;24.4;55.7
Daniel Riedrich;KICKZ IBAM;A;Forward;2005;7;129.9;39.4;5.6;6.4;1.9;5.2;0.3;12.6;2.0;1.6;19.3;60.0
Husein Petlaca;BBA Giants Kornwestheim;B;Forward;2006;5;75.3;39.4;7.9;8.9;0.0;0.0;0.0;12.6;4.7;3.3;24.3;71.6
Luis Klöpzig;Dresden Titans;B;Forward;2005;10;195.1;38.9;3.9;2.4;3.9;10.7;0.4;18.6;1.8;2.3;19.9;37.5
Rephael Edward;Eintracht Frankfurt;B;Forward;2007;13;142.0;38.6;3.0;2.2;3.9;10.5;0.4;16.3;2.8;1.4;10.7;54.7
Leon Kasche;Würzburg Baskets Akademie;B;Forward;2006;10;123.2;38.5;3.9;4.0;4.0;10.2;0.6;12.1;1.2;0.0;15.8;64.1
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;12;224.8;38.4;3.2;2.7;8.8;28.1;1.2;8.5;2.1;0.4;16.9;48.7
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Wing;2007;9;110.1;38.1;4.2;3.9;7.4;22.3;1.8;9.9;2.8;0.0;17.9;60.6
Joshua Bonga;Young Rasta Dragons;A;Point;2005;5;138.0;37.9;7.6;8.0;6.7;19.2;0.8;6.9;3.3;0.0;27.0;60.4
Connor Anderson;ratiopharm Ulm;B;Wing;2005;9;156.1;37.8;4.2;3.3;6.1;17.3;1.8;9.9;3.2;0.7;10.2;43.1
Simon Zieger;Team Bonn/Rhöndorf;B;Forward;2005;11;204.8;37.5;3.4;3.6;2.8;7.3;0.3;11.8;0.7;0.5;13.4;60.3
Jonas Gröger;Basketball Löwen Erfurt;B;Forward;2005;7;134.2;37.5;5.4;4.7;2.4;5.5;0.4;13.2;2.7;0.6;15.2;49.3
Caspar Chima Okoro;KICKZ IBAM;A;Wing;2006;12;199.9;37.5;3.1;2.5;5.6;16.5;1.0;7.6;2.1;2.0;11.3;56.6
Jordan Knacke;KICKZ IBAM;A;Forward;2007;13;179.9;37.1;2.9;2.3;2.0;5.5;0.3;10.4;2.0;2.8;13.3;51.1
Noah Okpara;RheinStars Köln;B;Combo;2005;10;162.4;37.0;3.7;4.2;6.5;19.4;1.1;6.2;1.6;0.0;20.7;59.3
Lazar Jalovi;Tornados Franken;B;Forward;2007;10;137.4;36.5;3.7;3.3;5.1;13.9;1.5;12.9;1.4;1.2;12.5;52.1
Leonard Jan Gausa;Hamburg Towers;A;Forward;2005;13;244.5;36.5;2.8;3.6;2.2;5.7;0.4;6.9;1.6;1.2;17.3;51.8
Felix Zacharias;Niners Chemnitz Academy;A;Combo;2005;12;261.2;36.5;3.0;2.9;4.9;14.1;0.6;5.8;3.0;0.3;19.9;53.9
Paul Nickola;Würzburg Baskets Akademie;B;Combo;2005;4;93.6;35.9;9.0;8.1;11.0;34.8;3.5;5.6;2.6;2.7;16.7;60.2
Edin Redzepovic;Sartorius Juniors;B;Combo;2007;10;176.7;35.9;3.6;4.1;4.6;12.3;0.4;6.0;3.1;1.1;19.3;65.5
Ben Kessler;Team Südhessen;B;Forward;2006;9;162.4;35.8;4.0;4.4;1.9;4.8;0.7;10.4;4.2;1.9;21.4;41.2
Darren Egbe;Hamburg Towers;A;Point;2007;11;233.5;35.6;3.2;3.6;5.4;15.5;0.7;3.7;4.4;0.5;25.3;52.6
Denial Ivojevic;BBA Hagen;B;Big;2005;7;137.4;35.4;5.1;2.7;3.2;8.6;0.5;14.5;1.5;4.2;17.3;45.6
Paul Bahn;Alba Berlin;A;Combo;2006;8;165.6;34.8;4.3;5.1;5.9;15.9;0.8;6.9;3.5;0.0;22.5;48.9
Konstantin Matthias Lehmann;RheinStars Köln;B;Wing;2008;7;172.7;34.8;5.0;5.3;8.2;25.0;1.8;9.6;2.1;0.0;14.9;39.2
Justus Waller;Hamburg Towers;A;Combo;2005;13;296.9;34.8;2.7;2.7;5.0;14.1;0.9;6.4;3.3;0.3;16.8;38.8
Mika Kröner;Bamberg freakcity academy;A;Combo;2006;10;235.4;34.6;3.5;3.1;4.3;12.0;0.6;5.6;2.6;0.0;21.3;51.2
Tobias Neubert;Tornados Franken;B;Point;2006;7;129.1;34.5;4.9;5.7;7.4;20.3;0.8;5.5;5.2;1.4;18.4;59.1
Andrej Milutinovic;Berlin Braves Baskets;B;Forward;2006;10;154.1;34.5;3.5;2.8;5.4;14.5;0.8;10.6;3.8;1.3;19.8;44.3
Henrik Besch;Berlin Braves Baskets;B;Forward;2005;10;177.7;34.3;3.4;4.0;2.9;7.5;0.6;10.8;1.1;1.7;18.7;44.7
Jamie Camron Edoka;Eintracht Frankfurt;B;Combo;2008;9;187.0;34.1;3.8;3.0;7.4;21.9;1.1;7.1;4.6;2.1;18.5;40.0
Jug Bogdan;Bayer Giants Leverkusen;A;Forward;2007;8;117.2;34.0;4.3;4.9;3.8;10.1;0.6;13.2;1.7;0.9;16.5;55.1
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;7;148.2;33.9;4.8;6.7;6.9;19.8;0.9;3.7;3.0;0.0;18.8;62.0
Vadim Maisels;TG Hanau;B;Combo;2005;9;175.6;33.5;3.7;2.0;6.8;19.9;1.2;10.1;4.9;0.0;16.6;43.8
Richard Schmitt;Alba Berlin;A;Wing;2007;8;169.1;33.5;4.2;5.5;6.8;18.2;0.9;7.9;1.1;0.0;16.5;55.2
Hagen Meyer;SG Junior Löwen Braunschweig;B;Forward;2005;10;143.1;33.5;3.4;3.0;5.7;15.9;0.8;13.9;2.4;1.4;16.0;44.3
Marijan Krstonic;Sartorius Juniors;B;Big;2005;10;111.1;33.4;3.3;3.0;0.8;2.0;0.1;18.0;0.9;0.0;17.4;68.7
Arshia Daniel Azami;RheinStars Köln;B;Forward;2006;7;152.5;33.4;4.8;2.4;6.3;18.3;0.9;14.9;2.3;1.3;15.3;38.5
Samuel Kurr;BBA Giants Kornwestheim;B;Point;2006;10;220.9;33.3;3.3;3.7;8.6;27.2;0.7;6.7;4.0;0.8;18.2;54.6
Mathéo Hermann;Alba Berlin;A;Wing;2007;9;160.3;33.1;3.7;4.0;4.5;11.3;0.5;10.3;1.7;1.2;20.8;50.9
Isiah Cade;Team Südhessen;B;Combo;2006;10;240.2;32.8;3.3;3.7;5.3;14.1;0.8;5.4;3.6;0.0;20.3;46.5
Hannes Kreft;HAKRO Merlins Crailsheim;B;Combo;2006;10;305.1;32.5;3.3;4.4;5.3;14.6;0.6;6.3;1.8;0.0;18.5;47.3
Julian Haskins;Eintracht Frankfurt;B;Combo;2005;10;127.3;32.1;3.2;3.8;5.6;15.6;1.2;7.4;3.1;0.8;14.1;56.5
Friedrich Beyer;RheinStars Köln;B;Big;2007;7;155.1;31.6;4.5;2.6;5.4;15.4;0.7;13.5;0.7;3.7;11.7;45.2
Dominik Weitz;Team Bonn/Rhöndorf;B;Forward;2006;10;157.5;31.5;3.2;3.2;1.2;3.0;0.2;10.1;1.9;1.2;16.2;48.4
Jalen Gabriel Moon;SG Junior Löwen Braunschweig;B;Combo;2006;10;243.4;31.5;3.2;4.2;3.2;8.6;0.4;4.3;2.9;0.0;17.9;54.2
Leo Hylla;Alba Berlin;A;Forward;2006;11;185.8;31.3;2.8;3.9;4.9;12.9;0.4;13.3;1.3;0.0;15.0;48.6
Fiete Nimmich;Rostock Seawolves;B;Big;2007;8;102.6;31.3;3.9;3.3;7.2;19.9;0.8;14.3;0.0;2.7;11.4;60.7
Luka Pesic;FC Bayern München;A;Combo;2005;7;188.0;31.0;4.4;4.5;4.9;13.9;0.9;4.4;1.4;0.0;22.4;54.0
Jonas Creutz;Dresden Titans;B;Combo;2005;9;227.5;31.0;3.4;4.9;3.9;10.8;0.4;8.1;2.3;0.0;20.3;54.2
Daron Khoranian;ART Giants Düsseldorf;B;Combo;2006;9;267.4;30.3;3.4;2.2;8.5;26.2;1.3;7.9;1.5;0.7;19.8;36.9
Silver Bieling;KICKZ IBAM;A;Combo;2005;8;99.2;30.1;3.8;4.5;5.1;14.7;0.8;9.2;3.7;1.1;25.9;55.9
Wilko Dickgiesser;HAKRO Merlins Crailsheim;B;Forward;2005;9;236.3;30.0;3.3;3.2;5.8;16.6;0.5;11.0;2.2;3.5;15.5;41.2
Sebastian Burek;Würzburg Baskets Akademie;B;Combo;2006;7;146.0;29.9;4.3;2.9;6.6;18.1;1.5;9.2;3.3;0.0;13.2;44.8
Niklas Müller;Tornados Franken;B;Combo;2006;13;193.1;29.5;2.3;1.8;5.3;14.3;1.2;5.6;1.3;0.5;17.1;44.5
Djairo Bernardina;Young Rasta Dragons;A;Combo;2007;11;208.0;29.5;2.7;2.2;5.9;17.3;0.8;6.9;3.9;0.0;13.6;46.7
Jonah Lindemann;Eisbären Bremerhaven;A;Wing;2006;10;153.2;29.1;2.9;2.4;3.8;9.8;0.4;9.5;4.7;1.1;16.5;46.1
Luca May;Medipolis SC Jena;A;Wing;2006;12;239.7;28.8;2.4;2.0;5.4;14.5;0.6;6.9;1.6;1.0;12.6;52.7
Eric-Stéphane Nkoué;HAKRO Merlins Crailsheim;B;Forward;2007;8;231.6;28.8;3.6;3.8;3.8;10.1;0.4;12.1;3.6;3.8;28.2;39.5
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Forward;2007;8;64.3;28.3;3.5;3.5;8.0;23.0;1.7;15.3;3.9;5.0;12.5;59.5
Guillaume Charles Pietro Schoentgen;ratiopharm Ulm;B;Forward;2006;7;118.6;28.0;4.0;3.6;3.3;9.1;0.6;10.6;1.7;1.8;23.3;51.3
Joshua Kreilein;USC Heidelberg;B;Combo;2005;9;200.1;28.0;3.1;3.2;3.1;7.8;0.5;4.8;2.1;0.0;30.1;48.6
Connor Duncan Ritterswürden;Phoenix Hagen;B;Big;2006;5;112.7;28.0;5.6;6.1;0.0;0.0;0.0;10.2;0.9;2.5;7.0;68.2
Tobias Drochner;Tornados Franken;B;Combo;2005;13;183.9;27.9;2.1;1.6;5.6;15.1;0.9;6.8;1.1;0.0;16.8;46.0
Moritz Grüß;Young Rasta Dragons;A;Point;2008;8;168.1;27.8;3.5;3.8;5.9;16.6;0.6;5.7;3.6;0.0;17.0;56.4
Elhadj Lamin Gassama;HAKRO Merlins Crailsheim;B;Forward;2005;4;66.8;27.5;6.9;9.9;4.5;13.0;0.7;14.1;4.7;1.7;19.8;58.3
Jefferson Hey;Basketball Löwen Erfurt;B;Combo;2005;10;246.3;27.4;2.7;1.9;7.4;19.3;0.9;5.2;2.4;0.6;21.6;41.9
Jayson Pfannenstiel;Eisbären Bremerhaven;A;Forward;2006;12;204.0;27.4;2.3;2.4;4.7;12.1;1.0;7.4;0.2;0.4;8.1;51.2
Malte Silbermann;Dresden Titans;B;Point;2006;10;295.3;27.1;2.7;2.4;7.5;22.5;0.6;8.2;3.1;0.9;23.2;43.0
Norwin Gumbinger;KICKZ IBAM;A;Forward;2006;7;78.6;26.6;3.8;4.7;3.0;8.2;0.8;12.0;1.3;1.3;19.0;57.7
Nicolas Lehmann;Team Südhessen;B;Combo;2005;10;168.9;26.1;2.6;3.3;9.6;28.2;1.1;4.3;2.6;0.0;8.3;57.4
Radouan Aberkane;Eisbären Bremerhaven;A;Wing;2007;9;207.3;26.1;2.9;2.0;7.4;20.1;0.5;11.3;3.0;0.4;20.8;47.0
Muhamad-Adel Soumare Medford;UBC Münster;A;Big;2006;7;118.1;26.0;3.7;2.4;4.8;13.2;0.7;16.7;1.3;0.7;13.0;45.3
Moritz Herbst;TS Jahn München;B;Point;2005;8;154.9;25.9;3.2;3.3;11.0;37.0;1.3;6.8;3.0;0.7;16.7;34.5
Eneko Haug Alonso;BBA Giants Kornwestheim;B;Point;2007;10;140.3;25.9;2.6;2.5;8.8;27.7;0.9;7.1;3.3;0.0;15.4;54.4
Leonard Dertmann;UBC Münster;A;Forward;2007;8;148.2;25.8;3.2;2.4;3.8;9.6;0.3;9.1;1.6;1.1;8.4;73.4
Leonardo Alfonso Benitez Arocha;Dresden Titans;B;Point;2008;9;153.4;25.4;2.8;3.6;6.9;20.6;0.8;6.1;3.0;0.6;23.4;59.1
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Combo;2007;12;177.0;25.1;2.1;2.0;9.9;31.1;0.9;3.8;0.6;0.0;12.7;71.2
Nicolas Pritz;Team Bonn/Rhöndorf;B;Wing;2006;12;211.3;25.0;2.1;2.2;3.3;8.3;0.3;9.1;2.5;0.9;17.7;50.0
Fynn Dobiecki;Team Bonn/Rhöndorf;B;Forward;2007;3;54.7;25.0;8.3;9.6;5.1;14.4;1.0;16.9;3.7;3.5;25.2;53.6
Josia Gentischer;BBA Giants Kornwestheim;B;Wing;2006;6;171.2;25.0;4.2;4.5;4.0;11.3;0.6;6.2;1.5;1.5;24.7;49.1
Osaigbovo Idehen Aguebor;Baskets Paderborn;A;Big;2008;3;39.8;24.6;8.2;5.6;1.8;4.4;1.0;24.1;2.4;6.2;21.9;52.9
Luis Uhlenbrock;Phoenix Hagen;B;Combo;2005;7;204.0;24.3;3.5;4.2;5.8;17.0;0.6;4.1;2.0;0.8;13.6;54.1
Joel Hamid Muschkewitz;SG Junior Löwen Braunschweig;B;Combo;2006;10;299.6;24.3;2.4;1.1;7.8;22.9;0.7;7.6;2.5;0.3;12.3;39.0
Dominic Vengert;USC Heidelberg;B;Combo;2006;6;115.3;24.1;4.0;4.1;5.2;13.4;0.5;7.0;3.7;2.2;22.5;51.7
Giuliano Aufiero;FC Bayern München;A;Wing;2007;11;174.7;24.0;2.2;2.3;2.6;6.6;0.4;7.0;2.2;0.5;14.0;53.6
Julius Zacharias;BBA Hagen;B;Wing;2006;7;158.7;24.0;3.4;5.1;3.9;10.9;0.5;9.1;1.6;0.0;14.3;49.5
Wendland Noah;Würzburg Baskets Akademie;B;Point;2007;6;161.2;23.5;3.9;4.0;6.3;17.4;0.5;4.6;2.4;0.5;20.0;64.5
Finn Paris;Baskets Paderborn;A;Combo;2006;12;194.7;23.5;2.0;1.5;10.6;33.2;0.9;9.0;2.8;0.5;14.3;38.5
Liam Pauli;BBA Hagen;B;Wing;2005;6;157.7;23.4;3.9;5.9;1.4;3.7;0.3;7.9;1.6;1.4;34.6;44.3
Jakob Moritz;USC Heidelberg;B;Big;2006;8;102.1;23.4;2.9;2.5;2.8;7.0;0.4;12.6;1.8;4.2;16.6;46.0
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Combo;2006;3;72.1;23.1;7.7;6.7;5.7;14.7;0.8;9.1;3.2;0.0;24.7;57.7
David Omoregie;HAKRO Merlins Crailsheim;B;Combo;2007;9;239.2;23.1;2.6;3.0;11.3;35.9;0.8;5.9;2.1;0.9;7.7;50.0
Danylo Kolesnichenko;Baskets Paderborn;A;Point;2007;5;97.7;23.1;4.6;5.0;10.8;36.8;0.9;5.8;2.2;0.9;20.8;65.9
Alfred Milatz;Niners Chemnitz Academy;A;Combo;2006;12;247.6;23.0;1.9;1.2;9.0;28.8;1.0;8.6;2.1;0.0;12.4;29.7
Lukas Wiegeler;UBC Münster;A;Wing;2007;13;212.8;22.9;1.8;1.1;2.5;6.5;0.5;5.5;1.4;0.8;12.0;49.0
Lennox Groh;UBC Münster;A;Combo;2006;11;186.1;22.8;2.1;1.6;7.0;19.9;1.2;4.6;3.2;1.8;15.2;38.3
Ben Elijah David Williams;TG Hanau;B;Combo;2006;9;173.1;22.1;2.5;2.7;5.8;16.3;0.6;3.3;1.7;0.5;14.7;63.7
Ole Schiffer;RheinStars Köln;B;Combo;2007;4;36.6;22.0;5.5;6.8;7.5;22.5;2.0;12.2;2.8;0.0;19.2;80.0
Korbinian Pfisterer;TS Jahn München;B;Forward;2006;4;63.9;22.0;5.5;5.8;3.3;9.0;1.0;13.4;4.0;1.5;13.9;49.0
Jesse Oduneye;Sartorius Juniors;B;Wing;2005;7;59.3;22.0;3.1;2.8;12.0;38.0;0.7;15.1;9.0;3.1;11.5;42.9
Titus Schuster;BBA Giants Kornwestheim;B;Combo;2005;7;196.9;21.8;3.1;2.2;4.9;14.1;0.8;8.1;2.9;0.5;19.5;35.5
Dominic Mack;Porsche BBA Ludwigsburg;A;Wing;2007;6;57.2;21.8;3.6;3.5;4.0;10.6;1.0;12.8;3.5;0.0;19.4;60.9
Ruomi Walter;Berlin Braves Baskets;B;Point;2006;11;155.7;21.5;2.0;1.9;8.8;25.7;0.8;3.9;5.3;0.7;17.5;47.7
Julius Gebauer;Phoenix Hagen;B;Combo;2007;9;131.7;21.3;2.4;3.2;5.5;15.4;0.6;6.3;1.2;0.6;23.0;55.6
Didier Alphonse Mbida Mengue;FC Bayern München;A;Forward;2006;4;49.3;21.3;5.3;4.1;9.3;28.4;1.0;19.0;5.1;3.8;17.0;58.8
Kjell Baumann;ratiopharm Ulm;B;Forward;2006;6;103.0;21.0;3.5;3.0;3.7;9.8;0.8;7.2;2.4;3.2;15.9;51.7
Finn-Friedrich Flasche;Alba Berlin;A;Forward;2005;8;87.6;21.0;2.6;2.9;3.5;8.7;0.3;11.0;3.2;0.0;15.4;68.2
Riccardo Cunsolo;ART Giants Düsseldorf;B;Big;2006;7;141.2;20.9;3.0;1.7;3.1;8.3;0.4;13.7;0.4;4.3;14.1;41.4
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;11;112.1;20.8;1.9;1.4;1.2;2.9;0.3;13.5;0.0;0.8;12.5;51.7
Nabil Alsabagh;TG Hanau;B;Wing;2007;6;97.3;20.6;3.4;4.2;5.0;13.6;0.5;13.8;2.5;0.0;24.6;48.7
Benno Wolf;Bamberg freakcity academy;A;Forward;2006;11;198.5;20.6;1.9;0.7;3.0;8.2;0.5;11.4;0.3;2.2;13.6;38.5
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Wing;2005;8;113.1;20.5;2.6;2.4;8.0;22.8;0.8;10.7;1.3;1.8;13.0;59.4
Mats Classen;Phoenix Hagen;B;Forward;2006;7;130.6;20.3;2.9;1.6;6.2;17.7;1.0;13.9;1.2;0.5;7.3;25.9
Calin Nita;Bayer Giants Leverkusen;A;Point;2005;5;116.6;20.3;4.1;4.2;9.1;26.8;1.0;7.9;2.5;0.9;22.0;42.6
Leon Azdajic;BBA Giants Kornwestheim;B;Forward;2005;9;158.3;20.1;2.2;1.9;1.3;3.5;0.1;13.7;3.3;0.0;15.0;41.2
Yaro Stahn;Dresden Titans;B;Wing;2006;10;246.9;19.6;2.0;1.3;2.5;6.7;0.4;6.3;0.6;0.7;15.1;44.4
Nikolai Stanic;Team Bonn/Rhöndorf;B;Wing;2005;9;108.5;19.6;2.2;2.1;6.2;17.2;1.0;9.5;1.3;0.9;14.4;50.3
Mathieu Adovi-Ley;Hamburg Towers;A;Big;2006;10;111.9;19.5;2.0;1.6;1.0;2.5;0.1;19.5;1.3;0.0;14.2;42.8
Alexander Vourliotis;Eisbären Bremerhaven;A;Forward;2006;8;169.8;19.5;2.4;1.6;5.2;13.5;0.4;10.1;2.8;1.5;17.4;44.3
Cavit Gürbüzer;BBA Hagen;B;Big;2007;6;80.6;19.0;3.2;2.3;2.0;5.0;0.3;16.3;1.3;0.0;9.7;57.0
Enes Redzepovic;Sartorius Juniors;B;Wing;2005;7;94.5;18.8;2.7;2.5;3.8;10.2;1.7;11.4;1.1;0.0;20.1;40.2
Jordan Iloanya;Phoenix Hagen;B;Forward;2005;4;119.0;18.6;4.7;9.8;2.4;6.1;0.4;11.7;1.6;0.6;38.8;40.8
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;A;Wing;2005;9;162.7;18.4;2.0;1.4;9.8;29.2;1.3;6.7;1.2;0.5;11.3;36.1
Noe Baucks;Baskets Paderborn;A;Wing;2006;6;50.4;18.3;3.0;3.4;2.0;5.0;0.2;10.8;5.9;1.8;16.9;77.5
Luis Ohrmann;BBA Hagen;B;Combo;2008;6;169.2;17.9;3.0;4.4;6.2;18.2;0.7;5.4;1.2;2.0;21.2;49.8
Armand Junior Deumi Simo;Metropol Baskets Ruhr;B;Wing;2005;6;109.5;17.9;3.0;2.1;4.3;10.9;0.5;9.5;2.6;0.8;18.8;51.7
Denzel Mota;Bamberg freakcity academy;A;Combo;2007;10;167.2;17.8;1.8;0.7;14.2;49.8;3.2;5.4;1.8;0.0;7.4;36.0
Jussi Knorr;Rostock Seawolves;B;Combo;2007;10;159.8;17.6;1.8;1.6;4.8;12.6;0.4;7.0;3.0;0.0;15.9;52.6
Laurenz Wulf;Hamburg Towers;A;Forward;2005;4;74.3;17.4;4.3;5.2;4.1;12.1;0.4;11.6;4.4;4.2;20.2;55.0
Nicola Schultze;Alba Berlin;A;Wing;2006;13;164.2;17.4;1.3;1.0;6.4;17.0;0.9;9.0;2.3;0.6;16.7;38.5
