PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Paul Schmidt;Tornados Franken;B;Forward;2006;12;121.9;72.5;92.0;-19.5;-3.4;-0.1;-3.5;-0.3;-0.2;0.2;0.0;0.00;5.4
Cornelius Meinel;Medipolis SC Jena;A;Combo;2006;8;90.4;70.6;96.3;-25.7;-2.7;0.3;-2.4;0.1;-0.2;0.1;-0.1;-0.03;5.4
Jeremiah Osei;Phoenix Hagen;B;Combo;2007;2;14.5;71.5;135.3;-63.8;-4.3;-0.1;-4.4;-0.1;0.0;-0.1;-0.1;-0.27;5.3
Jaden Brown;Würzburg Baskets Akademie;B;Combo;2007;9;174.5;70.1;96.8;-26.6;-4.6;0.1;-4.5;-1.1;-0.3;0.0;-0.3;-0.07;5.2
Leo König;VfL Kirchheim Knights;B;Combo;2005;10;147.5;78.6;110.3;-31.7;-3.5;-1.4;-4.9;-1.1;-0.3;-0.1;-0.3;-0.09;5.1
Alfred Milatz;Niners Chemnitz Academy;A;Combo;2006;12;247.6;68.0;113.8;-45.8;-2.8;1.0;-1.8;0.1;-0.7;-0.1;-0.8;-0.13;5.0
Milan Scharf;RheinStars Köln;B;Wing;2008;2;20.4;80.7;109.3;-28.6;-4.3;-0.1;-4.4;-0.1;-0.1;0.0;0.0;-0.10;4.9
David Omoregie;HAKRO Merlins Crailsheim;B;Combo;2007;9;239.2;60.1;98.9;-38.8;-4.5;1.1;-3.4;-0.8;-0.4;0.1;-0.3;-0.05;4.9
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;A;Combo;2005;5;100.6;66.9;114.8;-47.9;-4.5;1.2;-3.3;-0.4;-0.3;-0.1;-0.4;-0.14;4.8
Damarae Osazuwa Simson;Eisbären Bremerhaven;A;Combo;2007;12;331.9;60.5;101.8;-41.4;-8.9;-1.3;-10.2;-5.5;-1.8;-0.1;-1.9;-0.23;4.8
Jamie Alexander Köster;BBA Hagen;B;Forward;2007;3;35.6;48.0;105.0;-56.9;-3.7;0.7;-3.0;0.1;-0.1;0.0;-0.1;-0.12;4.8
