PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;5;96.5;35;18;8;2;3;11;14;26;0;0
Julijo Kendes;Team Urspring;A;Wing;2006;4;83.9;35;6;4;0;0;3;4;29;0;0
Mathéo Hermann;Alba Berlin;A;Combo;2007;4;78.4;35;9;4;6;0;7;8;29;0;0
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;2;56.3;35;9;2;4;0;14;6;15;0;0
Viktor Ludviksson;UBC Münster;A;Forward;2006;3;92.8;34;22;7;6;2;10;8;42;0;0
Johann Grau;Medipolis SC Jena;A;Forward;2007;3;96.1;34;22;5;3;0;4;6;44;0;0
Jeremy Julian Kolev;KICKZ IBAM;A;Wing;2005;4;113.3;33;12;2;8;2;9;13;23;0;0
Anton Nufer;Alba Berlin;A;Combo;2006;6;134.3;32;20;18;3;0;15;14;35;0;0
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;5;102.5;32;29;4;3;4;6;17;51;0;0
Jermaine Fleck;Berlin Braves Baskets;A;Combo;2005;2;58.1;32;2;5;2;1;9;4;18;0;0
Jasper Brand;Sartorius Juniors;A;Forward;2005;3;69.5;31;6;2;0;2;5;11;27;0;0
Tim Schnelle;Bayer Giants Leverkusen;A;Big;2006;6;97.1;31;30;3;2;5;7;17;50;0;0
Andrej Milutinovic;Berlin Braves Baskets;A;Forward;2006;3;58.3;30;9;3;4;1;5;9;36;0;0
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;6;84.1;28;12;4;3;0;5;8;26;0;0
Lukas Mutter;Alba Berlin;A;Point;2007;6;112.1;28;9;19;7;0;20;11;27;0;0
Gaston Nguyen Manh;Sartorius Juniors;A;Point;2008;3;94.8;28;5;7;5;0;10;3;11;0;0
Edin Redzepovic;Sartorius Juniors;A;Wing;2007;3;86.4;27;17;5;6;0;13;7;27;0;0
Jannis Ridder;Baskets Paderborn;A;Forward;2005;3;91.2;27;17;5;9;4;8;13;27;0;0
Hendrik Metsa;Medipolis SC Jena;A;Point;2007;3;71.2;26;5;6;3;0;10;5;14;0;0
Ivan Crnjac;Eintracht Frankfurt;A;Forward;2007;2;68.4;26;10;2;2;1;5;5;15;0;0
Nicola Schultze;Alba Berlin;A;Wing;2006;6;100.6;25;19;6;8;0;11;7;31;0;0
Joel Mbappou;Berlin Braves Baskets;A;Big;2005;3;52.1;25;15;4;1;4;5;4;27;0;0
Moritz Grüß;Young Rasta Dragons;A;Point;2008;5;71.9;24;6;9;6;0;8;10;24;0;0
