Name;Team;PER
Jonah Lindemann;Eisbären Bremerhaven;122.0
Mateja Pivnicki;Team Urspring;121.9
Richard Schmitt;Alba Berlin;118.3
Luca May;Medipolis SC Jena;118.1
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;116.7
Lennart Tröppner;Team Urspring;116.4
Julian Kirchhoff;Baskets Paderborn;116.0
Finn Paris;Baskets Paderborn;113.2
Tom Wübben;Baskets Paderborn;113.1
Jayson Pfannenstiel;Eisbären Bremerhaven;106.8
Nicola Schultze;Alba Berlin;104.3
Leonard Menne;Bayer Giants Leverkusen;103.5
Eduard Rantz;FC Bayern München;102.1
Gunnar Wanninger;KICKZ IBAM;101.2
Muhamad-Adel Soumare Medford;UBC Münster;100.9
Noe Baucks;Baskets Paderborn;99.0
Noah-Oliver Okah;Bayer Giants Leverkusen;98.7
Mathieu Adovi-Ley;Hamburg Towers;96.1
Elias Nold;Baskets Juniors Oldenburg;94.7
Ivan Volf;FC Bayern München;94.7
Alexander Vourliotis;Eisbären Bremerhaven;94.1
Till Galler;Team Urspring;94.0
Epke Kruthaup;Young Rasta Dragons;92.8
Timon Hoffmann;Baskets Paderborn;90.2
Stanislav Hinkov;Porsche BBA Ludwigsburg;89.7
Benno Wolf;Bamberg freakcity academy;89.4
Radouan Aberkane;Eisbären Bremerhaven;88.9
Lukas Mutter;Alba Berlin;87.3
Leonard Dertmann;UBC Münster;85.5
Alen Blakaj;Young Rasta Dragons;85.5
Danylo Kolesnichenko;Baskets Paderborn;84.7
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;82.3
Jakob Baur;Team Urspring;81.7
Paul Manuel Raabe;Alba Berlin;80.5
Neo Krizanovic;Bamberg freakcity academy;80.0
Paul Viefhues;UBC Münster;78.5
Marko Volf;FC Bayern München;77.3
Norwin Gumbinger;KICKZ IBAM;76.6
Paul Luis Schwabe;Young Rasta Dragons;76.5
Didier Alphonse Mbida Mengue;FC Bayern München;73.7
Christopher Wersien;Eisbären Bremerhaven;73.4
Leo Hylla;Alba Berlin;73.2
Calin Nita;Bayer Giants Leverkusen;73.1
Lukas Klein;Bayer Giants Leverkusen;72.1
Timo Wachsmuth;Bamberg freakcity academy;71.7
Bar Amiel;Bamberg freakcity academy;71.4
Noah Palumbo;Bayer Giants Leverkusen;70.7
Laurenz Wulf;Hamburg Towers;69.5
Leopold Schmidt;Medipolis SC Jena;68.3
Angelos Avramidis;Hamburg Towers;67.9
Ole Sebastiani;Eisbären Bremerhaven;67.1
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;66.4
Leander Nzume;Baskets Juniors Oldenburg;66.2
Denzel Mota;Bamberg freakcity academy;64.7
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;64.6
Marko Petric;Young Rasta Dragons;63.6
Aleksandar Zecevic;Baskets Juniors Oldenburg;63.2
Paul Schmorleiz;Alba Berlin;63.1
Lennox Groh;UBC Münster;62.1
Cornelius Meinel;Medipolis SC Jena;58.8
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;56.3
Cheikh Oumar Doucoure;Hamburg Towers;56.0
Ben Denkena;Baskets Juniors Oldenburg;53.2
Daniel Obehi Mack;Porsche BBA Ludwigsburg;52.9
Isayah Marcin;FC Bayern München;52.5
David Sann;ROTH Energie BBA GIESSEN 46ers;52.1
Damarae Osazuwa Simson;Eisbären Bremerhaven;51.8
Joshua Sievers;UBC Münster;50.7
Noah Kagiso Batsile;Eisbären Bremerhaven;48.8
Alfred Milatz;Niners Chemnitz Academy;48.5
Erik Niggemann;UBC Münster;48.3
Jan Dübener;Bayer Giants Leverkusen;47.7
Saro Pisacane;Bamberg freakcity academy;47.5
