PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Tom Brüggemann;Baskets Paderborn;A;Point;2007;3;108.7;40.8;13.6;16.5;9.1;25.7;1.8;8.1;3.4;0.0;28.7;49.2
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;159.6;39.8;5.0;4.9;4.7;13.2;0.8;12.6;3.5;0.7;18.9;43.9
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;5;124.9;39.3;7.9;6.3;4.8;12.8;1.0;13.2;5.1;1.6;17.4;49.8
Jenö Pildner;Team Urspring;A;Wing;2006;4;107.7;38.9;9.7;9.2;5.3;15.7;1.4;11.5;5.9;2.1;18.2;54.2
Amon Levi Dörries;Alba Berlin;A;Wing;2006;6;141.4;38.8;6.5;8.7;4.4;11.4;0.5;11.4;3.8;0.8;22.8;55.7
Leon Amadou Geißler;Team Urspring;A;Big;2006;4;102.3;38.6;9.7;8.7;3.7;10.4;0.5;19.1;1.5;6.5;20.3;64.3
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;8;185.1;37.6;4.7;6.5;4.3;12.3;0.5;10.3;3.1;2.0;20.8;58.6
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;8;136.3;36.5;4.6;3.8;3.4;9.2;0.4;13.5;1.5;1.5;12.8;64.4
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;5;116.0;34.3;6.9;7.4;4.6;12.3;0.7;10.3;3.4;0.0;20.0;53.8
Lars Kremer;Bayer Giants Leverkusen;A;Combo;2006;6;135.2;33.6;5.6;7.2;7.9;23.2;0.8;9.1;4.1;1.6;23.9;53.4
Oskar Humpert;UBC Münster;A;Forward;2005;3;81.9;32.4;10.8;12.8;4.2;11.0;0.8;10.9;1.8;3.0;26.4;62.5
Simon Feneberg;Tornados Franken;A;Combo;2005;3;106.9;32.1;10.7;13.5;9.7;28.8;1.0;10.8;3.6;1.2;28.2;50.8
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;5;138.1;31.5;6.3;6.8;4.2;11.2;1.1;5.8;1.8;0.7;21.1;55.8
Benjamin Koppke;Niners Chemnitz Academy;A;Big;2005;2;56.7;31.4;15.7;13.7;1.2;3.0;0.5;17.9;0.0;2.7;26.5;70.5
Jonathan Paul Zeisberger;KICKZ IBAM;A;Point;2006;4;129.7;31.4;7.8;11.3;4.2;12.0;1.1;5.1;1.2;0.0;28.2;57.1
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;6;127.3;31.1;5.2;8.3;1.1;2.9;0.2;11.3;2.4;1.0;22.9;61.6
Johann Grau;Medipolis SC Jena;A;Forward;2007;3;96.1;30.9;10.3;11.4;4.8;14.2;1.3;15.3;1.7;0.0;16.4;57.4
Tim Schnelle;Bayer Giants Leverkusen;A;Big;2006;6;97.1;30.5;5.1;5.8;3.3;8.7;0.4;18.0;1.0;5.6;14.6;58.7
Joscha Eckert;Tornados Franken;A;Combo;2005;3;96.0;30.4;10.1;10.6;6.8;18.9;1.2;11.4;5.5;0.0;23.3;45.7
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;5;102.5;30.3;6.1;5.4;4.1;10.9;0.7;16.1;1.4;3.8;14.7;54.4
Dusan Nikolic;Eintracht Frankfurt;A;Wing;2005;2;65.7;30.0;15.0;24.6;3.6;10.9;0.8;12.9;3.4;0.0;32.2;64.5
Pablo Schmidt;Tornados Franken;A;Big;2005;3;68.9;29.3;9.8;8.8;1.7;4.3;0.3;23.9;1.4;1.8;26.6;53.8
Jorke Aav;Team Urspring;A;Wing;2005;4;133.9;29.0;7.3;8.6;5.8;17.3;0.8;8.3;1.6;1.6;24.5;55.9
Thore Dilschmann;UBC Münster;A;Wing;2006;3;101.0;28.6;9.5;10.6;5.5;14.8;1.5;9.9;1.4;1.6;23.6;48.8
Viktor Ludviksson;UBC Münster;A;Forward;2006;3;92.8;28.4;9.5;11.3;5.9;16.1;0.7;13.2;3.1;1.8;18.4;54.8
Leon Anbinder;Baskets Paderborn;A;Point;2005;3;97.2;28.4;9.5;10.8;3.8;9.5;0.4;4.5;9.1;0.0;26.9;55.1
Jakob Lang;Medipolis SC Jena;A;Forward;2005;3;90.5;27.9;9.3;14.0;1.5;4.0;0.2;16.2;0.0;0.0;24.6;69.1
Emanuel Mpacko;Berlin Braves Baskets;A;Point;2005;3;75.8;27.8;9.3;10.2;8.1;24.9;1.4;9.0;5.4;1.4;25.4;52.1
Nikolas Sermpezis;FC Bayern München;A;Forward;2007;5;93.5;27.8;5.6;4.5;2.5;6.7;1.0;14.3;0.5;0.0;19.2;54.5
Ivan Volf;FC Bayern München;A;Wing;2006;5;133.9;25.4;5.1;4.7;2.1;5.6;0.8;6.8;1.5;1.7;21.6;47.5
Raphael Falkenthal;Medipolis SC Jena;A;Combo;2005;2;52.2;25.1;12.6;16.7;6.8;20.8;1.0;10.7;2.0;0.0;27.4;79.9
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;8;192.3;25.0;3.1;1.7;4.3;12.1;0.5;6.1;3.0;3.8;14.7;52.4
Jug Bogdan;Bayer Giants Leverkusen;A;Wing;2007;6;65.8;24.5;4.1;5.0;7.2;20.8;2.0;15.1;4.6;1.7;17.1;48.7
Janis Jünemann;Sartorius Juniors;A;Forward;2005;3;89.2;24.3;8.1;9.6;5.2;15.1;0.4;14.5;2.4;3.5;24.9;62.9
David Koch;Bayer Giants Leverkusen;A;Wing;2005;6;161.3;22.5;3.8;6.3;0.9;2.4;0.2;6.5;1.9;0.0;22.0;48.9
Silver Bieling;KICKZ IBAM;A;Wing;2005;4;54.1;22.4;5.6;8.7;3.6;10.2;0.6;11.1;0.0;2.0;32.5;67.0
Andrej Milutinovic;Berlin Braves Baskets;A;Forward;2006;3;58.3;22.1;7.4;7.6;4.3;12.0;0.6;9.6;3.5;1.8;19.2;78.1
Matteo Petters;FC Bayern München;A;Forward;2006;5;79.3;21.8;4.4;3.2;5.2;14.7;3.0;10.8;1.9;4.2;10.1;51.6
Tobias Drochner;Tornados Franken;A;Forward;2005;3;83.7;21.5;7.2;6.7;5.2;13.9;1.5;8.5;2.9;3.0;10.1;53.2
Martin Kalu;FC Bayern München;A;Combo;2005;5;114.3;20.8;4.2;2.8;3.8;10.5;1.3;8.0;2.7;1.9;26.6;42.9
Leonhard Laar;Team Urspring;A;Forward;2006;4;101.8;20.5;5.1;5.7;0.8;2.2;0.2;7.0;1.0;1.1;19.7;60.8
Julijo Kendes;Team Urspring;A;Wing;2006;4;83.9;20.3;5.1;5.8;4.8;13.9;1.3;4.7;0.0;0.0;15.3;70.0
Nicola Schultze;Alba Berlin;A;Wing;2006;6;100.6;20.3;3.4;3.7;5.7;15.4;0.5;10.9;3.8;0.0;15.9;47.3
Anton Nufer;Alba Berlin;A;Combo;2006;6;134.3;20.1;3.4;3.5;10.9;33.4;1.2;8.6;1.1;0.0;15.8;46.0
Marko Petric;Young Rasta Dragons;A;Forward;2008;7;169.2;19.8;2.8;2.4;2.3;6.0;0.3;9.2;0.6;0.0;16.0;50.4
Jannis Ridder;Baskets Paderborn;A;Forward;2005;3;91.2;19.6;6.5;3.6;4.8;12.1;0.6;10.2;4.6;4.0;18.4;43.3
Lukas Modic;Porsche BBA Ludwigsburg;A;Wing;2005;1;29.0;19.5;19.5;22.9;2.4;6.2;1.0;18.5;13.9;0.0;20.9;52.1
Joel Mbappou;Berlin Braves Baskets;A;Big;2005;3;52.1;19.3;6.4;6.0;4.4;12.3;0.8;17.8;1.0;8.2;27.7;47.7
Philip Schneck;Team Urspring;A;Point;2005;1;24.5;19.1;19.1;22.3;13.8;51.6;6.0;12.6;6.5;0.0;18.7;81.5
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;6;91.5;18.8;3.1;3.7;1.2;3.0;0.2;13.4;3.8;2.4;30.1;42.0
Dorian Grosber;Alba Berlin;A;Combo;2006;3;61.4;18.6;6.2;8.0;9.7;29.9;1.1;13.8;2.4;0.0;20.4;53.6
Mathéo Hermann;Alba Berlin;A;Combo;2007;4;78.4;17.9;4.5;6.5;4.0;10.5;0.6;6.8;3.7;0.0;20.3;58.7
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;6;84.1;17.4;2.9;3.1;4.5;12.4;0.8;8.3;1.8;0.0;15.6;53.8
Edin Redzepovic;Sartorius Juniors;A;Wing;2007;3;86.4;17.4;5.8;7.1;4.6;13.2;0.4;12.7;3.7;0.0;18.3;60.3
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;3;86.9;16.6;5.5;7.3;7.0;19.5;0.8;5.7;2.8;0.0;35.6;48.5
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;2;45.3;16.4;8.2;5.9;17.8;71.1;2.4;11.2;1.1;0.0;15.1;53.2
Lukas Mutter;Alba Berlin;A;Point;2007;6;112.1;16.0;2.7;2.8;12.4;38.6;1.0;4.6;3.0;0.0;16.6;59.3
Tim Otto;Medipolis SC Jena;A;Big;2005;2;40.8;15.5;7.8;7.7;9.6;31.6;4.0;10.2;1.3;3.2;12.8;81.7
Philipp Roos;KICKZ IBAM;A;Forward;2005;3;69.2;14.8;4.9;4.9;2.3;6.2;0.5;8.6;2.3;1.5;10.5;69.9
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;2;39.6;13.9;6.9;8.1;0.0;0.0;0.0;24.6;0.0;5.6;20.6;69.4
Yannis Steger;Bayer Giants Leverkusen;A;Big;2005;6;84.9;13.8;2.3;1.9;0.0;0.0;0.0;11.0;0.6;9.0;22.2;60.2
Jasper Brand;Sartorius Juniors;A;Forward;2005;3;69.5;13.5;4.5;6.1;2.7;7.6;0.4;5.6;0.0;3.0;16.6;74.5
Moritz Grüß;Young Rasta Dragons;A;Point;2008;5;71.9;13.0;2.6;2.6;8.8;26.8;1.1;4.8;4.2;0.0;18.0;51.7
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;5;96.5;12.9;2.6;2.2;5.3;14.6;0.7;10.7;1.0;3.4;22.6;42.3
Richard Schmitt;Alba Berlin;A;Wing;2007;5;82.6;12.8;2.6;2.5;8.6;24.4;0.9;9.7;1.7;1.3;19.7;43.5
Lukas Klein;Bayer Giants Leverkusen;A;Big;2008;2;27.0;12.4;6.2;14.5;0.0;0.0;0.0;22.3;1.9;0.0;9.3;75.0
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;7;46.5;12.4;1.8;2.7;2.6;7.3;0.2;13.2;2.3;0.0;13.0;83.3
