PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Johann Grau;Medipolis SC Jena;A;Forward;2007;3;32.0;11.3;7.3;1.7;1.0;0.0;1.3;2.0;14.7;21.9;11.4
Viktor Ludviksson;UBC Münster;A;Forward;2006;3;30.9;11.3;7.3;2.3;2.0;0.7;3.3;2.7;14.0;19.1;11.3
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;6;21.2;11.2;4.2;0.3;1.0;0.2;2.0;3.7;9.7;23.1;8.3
Leon Amadou Geißler;Team Urspring;A;Big;2006;4;25.6;11.0;7.5;1.3;0.8;1.5;2.8;3.0;14.0;25.8;8.7
Amon Levi Dörries;Alba Berlin;A;Wing;2006;6;23.6;10.7;4.7;1.5;1.8;0.2;3.0;2.0;10.7;20.5;8.7
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;8;26.1;10.5;6.4;1.8;0.8;0.8;3.5;2.6;10.6;18.7;8.5
Jasper Brand;Sartorius Juniors;A;Forward;2005;3;23.2;10.3;2.0;0.7;0.0;0.7;1.7;3.7;9.0;20.0;6.1
Jenö Pildner;Team Urspring;A;Wing;2006;4;26.9;10.3;4.8;1.8;3.0;0.5;1.3;2.8;13.5;26.8;9.2
Silver Bieling;KICKZ IBAM;A;Wing;2005;4;13.5;10.3;2.5;1.0;0.0;0.3;1.8;0.5;8.5;38.8;8.7
Andrej Milutinovic;Berlin Braves Baskets;A;Forward;2006;3;19.4;10.0;3.0;1.0;1.3;0.3;1.7;3.0;12.0;31.5;7.6
Nevio Bennefeld;Alba Berlin;A;Big;2007;6;23.6;9.8;6.0;1.0;1.0;1.0;2.5;3.0;13.5;21.8;10.1
Simon Kohlhoff;Baskets Juniors Oldenburg;A;Combo;2006;7;33.5;9.7;4.1;4.1;2.3;1.6;2.7;2.1;12.6;19.4;13.5
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;5;23.2;9.6;4.2;1.4;1.6;0.0;2.0;0.8;9.0;20.7;7.4
Lars Kremer;Bayer Giants Leverkusen;A;Combo;2006;6;22.5;9.5;3.5;3.2;1.8;0.3;3.8;3.0;9.2;20.2;7.2
Desmond Yiamu;FC Bayern München;A;Forward;2006;5;20.2;9.4;7.8;2.0;1.6;0.2;1.2;2.8;18.0;39.8;12.0
Gaston Nguyen Manh;Sartorius Juniors;A;Point;2008;3;31.6;9.3;1.7;2.3;1.7;0.0;3.3;1.0;3.7;9.4;2.9
Miran Evin;Baskets Juniors Oldenburg;A;Wing;2006;7;28.1;9.1;5.9;2.9;1.7;0.3;3.1;3.6;11.0;17.1;8.2
Jannis Ridder;Baskets Paderborn;A;Forward;2005;3;30.4;9.0;5.7;1.7;3.0;1.3;2.7;4.3;9.0;13.5;3.6
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;8;23.1;9.0;3.9;1.4;1.4;0.4;3.0;3.4;8.9;17.7;6.5
Edin Redzepovic;Sartorius Juniors;A;Wing;2007;3;28.8;9.0;5.7;1.7;2.0;0.0;4.3;2.3;9.0;15.9;7.1
Nikolas Sermpezis;FC Bayern München;A;Forward;2007;5;18.7;8.8;5.0;0.6;0.2;0.0;0.6;3.4;9.6;24.2;4.5
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;5;25.0;8.8;5.8;1.4;2.6;0.4;1.4;3.6;11.2;21.6;6.3
Mathéo Hermann;Alba Berlin;A;Combo;2007;4;19.6;8.8;2.3;1.0;1.5;0.0;1.8;2.0;7.3;18.7;6.5
Julijo Kendes;Team Urspring;A;Wing;2006;4;21.0;8.8;1.5;1.0;0.0;0.0;0.8;1.0;7.3;20.7;5.8
Hendrik Metsa;Medipolis SC Jena;A;Point;2007;3;23.7;8.7;1.7;2.0;1.0;0.0;3.3;1.7;4.7;11.3;2.6
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;5;29.6;8.6;4.0;4.8;1.2;0.8;3.4;2.8;12.0;17.6;8.1
Tim Otto;Medipolis SC Jena;A;Big;2005;2;20.4;8.5;3.0;2.0;0.5;0.5;0.5;3.5;12.0;28.9;7.7
Joel Mbappou;Berlin Braves Baskets;A;Big;2005;3;17.4;8.3;5.0;1.3;0.3;1.3;1.7;1.3;9.0;25.0;6.0
Jeremy Julian Kolev;KICKZ IBAM;A;Wing;2005;4;28.3;8.3;3.0;0.5;2.0;0.5;2.3;3.3;5.8;12.6;2.1
Clemens Sokolov;Tornados Franken;A;Forward;2007;3;21.3;8.0;3.7;1.3;0.7;0.3;3.0;3.3;7.7;14.7;3.0
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;6;15.3;7.8;3.5;0.3;1.2;0.3;1.5;1.5;5.0;19.9;3.7
Ben-Luca Port;Baskets Paderborn;A;Forward;2005;3;23.8;7.7;5.0;1.3;0.3;0.0;2.3;3.3;7.0;9.9;3.3
Emil Bode;Sartorius Juniors;A;Wing;2006;3;20.5;7.7;2.0;0.3;1.3;0.0;1.3;4.0;6.3;17.3;2.5
Ben Lenhardt;Berlin Braves Baskets;A;Wing;2006;3;25.1;7.7;4.3;2.0;1.7;0.0;4.3;1.3;6.3;10.5;4.8
Marko Petric;Young Rasta Dragons;A;Forward;2008;7;24.2;7.6;4.0;0.6;0.3;0.0;1.9;2.9;5.9;10.5;2.4
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;2;19.8;7.5;7.5;0.0;0.0;1.0;3.0;1.5;10.5;25.0;8.1
Luka Pesic;FC Bayern München;A;Wing;2005;5;19.1;7.2;6.2;2.4;1.4;0.0;1.4;2.2;12.8;29.6;8.5
Joshua William Greene;FC Bayern München;A;Point;2006;1;18.7;7.0;1.0;2.0;1.0;0.0;1.0;2.0;6.0;17.4;3.2
Dorian Grosber;Alba Berlin;A;Combo;2006;3;20.5;7.0;4.7;3.0;1.0;0.0;2.7;1.7;9.3;18.9;8.0
Dre Odeh;Bayer Giants Leverkusen;A;Forward;2005;5;19.3;7.0;3.6;1.6;0.4;0.6;2.2;2.8;5.2;11.7;2.2
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Forward;2007;1;12.4;7.0;4.0;1.0;0.0;0.0;1.0;1.0;7.0;29.1;4.3
Paul Bahn;Alba Berlin;A;Combo;2006;6;20.7;6.8;1.5;0.3;1.7;0.0;2.2;1.0;2.2;8.0;1.0
Ruomi Walter;Berlin Braves Baskets;A;Combo;2006;3;15.2;6.7;1.0;1.0;1.3;0.3;2.7;1.3;6.0;19.8;4.4
Tobias Drochner;Tornados Franken;A;Forward;2005;3;27.9;6.7;4.3;1.0;1.7;0.7;0.7;2.3;10.3;16.1;6.7
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;3;26.1;6.7;2.0;0.7;1.7;0.3;0.3;2.7;3.7;8.4;0.7
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;20.0;6.5;4.4;1.3;1.4;0.1;1.6;1.5;7.3;18.0;4.9
Yannis Steger;Bayer Giants Leverkusen;A;Big;2005;6;14.1;6.5;2.7;0.0;0.2;1.2;2.0;3.0;5.3;16.6;1.9
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;5;20.5;6.4;5.8;0.8;0.6;0.8;1.2;3.4;10.2;18.1;5.4
Marijan Krstonic;Sartorius Juniors;A;Forward;2005;3;18.4;6.3;4.3;0.7;0.7;0.0;1.3;3.3;7.3;18.5;3.6
Philipp Roos;KICKZ IBAM;A;Forward;2005;3;23.1;6.3;3.3;0.3;1.0;0.3;0.7;3.7;9.0;18.8;4.9
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;8;24.0;6.1;2.4;1.0;1.4;0.8;2.0;3.4;5.8;12.1;1.7
Maxim Klanten;Berlin Braves Baskets;A;Forward;2006;3;14.8;6.0;2.0;0.7;0.0;0.7;1.0;1.3;4.0;15.6;1.8
Niklas Müller;Tornados Franken;A;Wing;2006;3;26.5;6.0;2.7;0.3;1.0;0.0;1.3;2.0;2.7;5.7;0.0
Marvin Eßer;Eintracht Frankfurt;A;Forward;2005;2;23.0;6.0;2.0;0.5;1.0;0.5;0.0;2.5;9.0;21.2;7.2
Miles David De Koning;Sartorius Juniors;A;Point;2005;1;17.6;6.0;1.0;1.0;1.0;0.0;6.0;0.0;-1.0;-3.5;-1.2
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;4;22.8;5.5;2.8;0.3;0.8;0.0;1.5;1.8;3.3;7.7;1.3
Jayson Roth;Sartorius Juniors;A;Big;2005;3;13.3;5.3;3.7;1.0;0.3;1.0;2.3;1.3;6.0;18.7;4.4
Erik Larsen;Sartorius Juniors;A;Combo;2005;3;18.2;5.3;2.0;0.7;0.7;0.0;1.0;2.0;2.0;7.2;-0.2
Martin Geuther;Medipolis SC Jena;A;Point;2005;3;20.2;5.3;2.0;2.3;2.0;0.0;1.7;1.7;5.7;14.7;3.8
Anton Nufer;Alba Berlin;A;Combo;2006;6;22.4;5.3;3.3;3.0;0.5;0.0;2.5;2.3;5.8;8.9;3.5
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;8;17.0;5.3;4.0;0.5;0.5;0.3;1.1;2.4;7.3;19.0;3.8
Tim Schnelle;Bayer Giants Leverkusen;A;Big;2006;6;16.2;5.2;5.0;0.5;0.3;0.8;1.2;2.8;8.3;19.6;5.8
Edwin Krzeminski;Niners Chemnitz Academy;A;Combo;2005;2;22.6;5.0;4.5;6.0;0.5;0.0;2.5;2.0;11.0;19.2;5.9
Alfons Milatz;Niners Chemnitz Academy;A;Forward;2007;1;13.5;5.0;1.0;1.0;0.0;1.0;1.0;1.0;5.0;20.3;2.4
Raul Dumnici;Tornados Franken;A;Combo;2007;3;19.0;5.0;2.0;2.0;1.0;0.0;2.3;0.7;1.3;3.9;0.3
Theo Roesinger;FC Bayern München;A;Wing;2008;1;13.1;5.0;1.0;1.0;0.0;0.0;0.0;4.0;5.0;15.9;0.8
Jakub Klobusiak;Niners Chemnitz Academy;A;Forward;2005;2;23.1;5.0;4.0;0.5;0.0;0.0;2.0;1.5;5.0;6.8;2.3
Carlos Kellner;Sartorius Juniors;A;Combo;2006;1;2.3;5.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;165.0;7.2
Eduard Rantz;FC Bayern München;A;Big;2007;2;8.7;5.0;4.5;0.0;0.0;0.5;0.5;2.0;8.5;39.5;4.0
Moritz Grüß;Young Rasta Dragons;A;Point;2008;5;14.4;4.8;1.2;1.8;1.2;0.0;1.6;2.0;4.8;16.3;2.6
Richard Schmitt;Alba Berlin;A;Wing;2007;5;16.5;4.8;2.8;2.0;0.6;0.2;2.2;1.8;4.6;9.7;2.5
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;6;14.0;4.7;2.0;0.7;0.5;0.0;0.8;1.3;4.3;16.9;3.1
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Wing;2006;3;21.4;4.7;2.3;1.0;0.7;0.3;1.3;2.0;3.3;6.8;1.1
Henrik Besch;Berlin Braves Baskets;A;Forward;2005;3;14.8;4.7;2.7;0.3;0.0;0.0;1.0;0.0;5.0;16.5;4.7
Mats Niggemann;UBC Münster;A;Combo;2005;3;21.4;4.7;4.3;1.7;1.7;0.0;4.3;0.3;1.3;1.3;0.4
Lukas Mutter;Alba Berlin;A;Point;2007;6;18.7;4.7;1.5;3.2;1.2;0.0;3.3;1.8;4.5;10.2;2.8
Lukas Klein;Bayer Giants Leverkusen;A;Big;2008;2;13.5;4.5;5.0;0.0;0.5;0.0;0.0;1.0;8.5;28.6;14.5
Finn Schwaiger;Medipolis SC Jena;A;Point;2005;3;22.9;4.3;1.3;5.7;0.0;0.0;2.7;1.7;3.0;4.6;1.4
Nicola Schultze;Alba Berlin;A;Wing;2006;6;16.8;4.2;3.2;1.0;1.3;0.0;1.8;1.2;5.2;12.4;3.7
Joscha Zentgraf;Eintracht Frankfurt;A;Forward;2005;2;20.3;4.0;5.5;2.5;0.5;0.0;1.0;4.5;8.5;17.6;3.3
Muhamad-Adel Soumare Medford;UBC Münster;A;Forward;2006;2;15.1;4.0;2.5;0.5;0.5;0.0;2.5;2.0;3.5;9.1;0.5
Joshua Sievers;UBC Münster;A;Forward;2005;3;21.7;4.0;4.7;1.7;0.0;0.0;1.7;1.3;5.0;7.2;3.3
Namori Omog;Eintracht Frankfurt;A;Wing;2006;2;29.3;4.0;3.0;1.0;0.5;0.0;1.0;1.0;-2.0;-2.1;-4.2
Max Emil Weber;Baskets Paderborn;A;Forward;2006;3;13.1;4.0;1.0;0.3;0.3;0.3;0.0;1.3;4.0;15.1;2.4
Jan Dübener;Bayer Giants Leverkusen;A;Combo;2007;1;15.0;4.0;1.0;0.0;1.0;0.0;3.0;3.0;-1.0;-6.6;-6.1
Dominic Mack;Porsche BBA Ludwigsburg;A;Forward;2007;1;4.0;4.0;2.0;0.0;1.0;0.0;0.0;3.0;3.0;47.7;-0.4
Jug Bogdan;Bayer Giants Leverkusen;A;Wing;2007;6;11.0;3.8;2.8;1.0;1.0;0.2;0.5;1.5;5.8;25.7;5.0
Matteo Petters;FC Bayern München;A;Forward;2006;5;15.9;3.8;3.2;0.6;0.6;0.6;0.2;2.0;6.6;18.4;3.2
Jannis Grußendorf;FC Bayern München;A;Combo;2005;3;18.0;3.7;0.7;1.0;0.7;0.7;0.3;4.0;3.0;8.0;-1.5
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Combo;2005;6;18.1;3.5;1.3;0.7;1.2;0.2;1.5;2.5;2.3;5.8;-0.5
Isayah Marcin;FC Bayern München;A;Combo;2007;2;9.3;3.5;0.5;1.0;0.0;0.0;1.5;1.5;2.5;11.4;1.1
Leander Werner;Niners Chemnitz Academy;A;Combo;2006;2;7.7;3.5;0.5;0.5;0.0;0.0;0.0;0.5;3.5;28.1;2.2
Lukas Wiegeler;UBC Münster;A;Combo;2007;3;9.1;3.3;0.7;0.7;0.0;0.0;1.0;1.0;2.0;9.0;0.9
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;5;11.1;3.2;1.0;0.6;1.4;0.0;0.8;0.8;1.0;10.5;0.0
Callum Macaulay;Team Urspring;A;Combo;2006;4;22.0;3.0;1.5;1.8;1.0;0.0;2.3;3.0;0.3;0.3;-2.9
Dominik Dolic;FC Bayern München;A;Combo;2006;1;15.9;3.0;2.0;1.0;0.0;0.0;2.0;2.0;0.0;-3.8;-2.3
