PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Jack Kayil;Young Rasta Dragons;A;Point;2006;5;23.3;18.6;3.6;3.6;3.2;0.4;4.2;3.0;17.4;48.7;14.5
Thore Dilschmann;UBC Münster;A;Point;2006;13;31.2;18.5;4.4;3.8;1.9;0.0;3.0;2.2;16.8;32.8;13.5
Ivan Crnjac;Eintracht Frankfurt;B;Wing;2007;7;29.8;18.1;5.9;1.1;1.1;0.0;1.9;1.7;13.6;30.0;12.3
Carlo Schult;Rostock Seawolves;B;Wing;2006;8;28.1;18.1;3.1;1.6;1.1;0.5;2.1;3.3;14.1;29.8;8.6
Niko Jerkic;Orange Academy;B;Wing;2007;2;22.5;18.0;3.5;1.0;0.5;0.0;2.5;2.0;12.0;35.6;11.5
Ludwig Hassler;Dresden Titans;B;Forward;2005;3;29.9;17.7;10.0;2.7;3.0;0.7;4.3;2.7;22.3;40.4;22.5
Volodymyr Yermakov;ART Giants Düsseldorf;B;Forward;2006;8;29.7;17.4;5.1;1.6;1.0;0.6;3.1;2.1;13.0;28.0;10.3
Till Heyne;ROTH Energie BBA GIESSEN 46ers;A;Point;2006;14;32.3;17.3;2.3;3.7;1.9;0.0;5.1;3.0;9.6;20.8;6.3
Marko Rosic;Team Bonn/Rhöndorf;B;Point;2005;8;27.9;17.1;3.0;4.6;1.0;0.0;1.6;0.9;15.3;35.6;15.3
Noah Popescu;BBA Giants Kornwestheim;B;Wing;2006;10;34.2;17.1;3.9;2.2;2.3;0.4;4.0;3.4;8.9;19.3;5.2
Alan De Vries;TS Jahn München;B;Wing;2005;10;30.8;17.1;4.1;1.6;1.8;0.1;1.7;0.7;12.5;27.8;13.7
Liam Pauli;BBA Hagen;B;Wing;2005;6;26.3;17.0;4.2;0.8;0.8;0.3;2.7;1.8;7.2;22.1;5.9
Raphael Falkenthal;Medipolis SC Jena;A;Combo;2005;6;27.3;17.0;4.5;4.0;2.5;0.3;4.7;1.8;17.7;35.0;13.9
Igor Jokic;Baskets Juniors Oldenburg;A;Combo;2005;7;20.2;17.0;3.0;1.6;2.3;0.0;2.3;2.0;14.4;46.6;12.1
Christian Mann;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;11;29.0;16.8;9.0;2.0;1.1;0.4;2.5;2.9;20.5;37.1;15.1
Oskar Humpert;UBC Münster;A;Forward;2005;12;30.4;16.5;7.3;2.0;0.9;1.1;2.5;3.4;16.5;29.8;11.2
Musa Abra;Basketball Löwen Erfurt;B;Point;2006;9;29.0;16.3;4.7;4.2;2.0;0.1;4.6;2.7;11.8;22.6;7.8
Viktor Ludviksson;UBC Münster;A;Forward;2006;12;29.4;16.1;7.6;1.7;1.6;0.9;3.7;3.9;17.2;30.6;11.1
Tin Udovicic;KICKZ IBAM;A;Point;2005;3;31.2;16.0;6.3;8.7;3.3;1.0;2.3;2.3;26.7;48.4;21.3
Stefan Bogdan;ART Giants Düsseldorf;B;Forward;2005;5;26.0;16.0;7.0;3.0;1.8;0.8;2.2;2.2;18.6;40.8;16.4
