PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Lukas Modic;Porsche BBA Ludwigsburg;A;Wing;2005;12;327.7;140;71;35;37;11;26;18;196;2;0
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;13;318.0;140;111;14;18;18;20;48;214;4;0
Benjamin Koppke;Niners Chemnitz Academy;A;Forward;2005;11;311.1;140;81;6;10;0;26;35;129;2;0
Tom Timur Arkan;TG Hanau;B;Point;2005;7;204.2;139;11;21;13;0;19;7;79;0;0
Volodymyr Yermakov;ART Giants Düsseldorf;B;Forward;2006;8;237.8;139;41;13;8;5;25;17;104;0;0
Linus Trettin;Young Rasta Dragons;A;Forward;2005;10;265.9;137;67;25;18;5;20;20;175;2;0
Marko Rosic;Team Bonn/Rhöndorf;B;Point;2005;8;223.0;137;24;37;8;0;13;7;122;0;0
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;12;313.8;135;24;57;17;0;38;21;84;0;0
Pablo Schmidt;Tornados Franken;B;Big;2005;12;269.6;135;87;11;9;8;27;38;140;2;0
Edolind Paqarada;VfL Kirchheim Knights;B;Point;2005;12;312.4;135;25;40;20;1;35;30;107;0;0
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;14;290.4;132;84;4;7;10;24;45;159;2;0
Nelson Martin;Hamburg Towers;A;Point;2006;13;292.0;132;55;54;33;0;43;31;127;0;0
Evan Rietsch;USC Heidelberg;B;Wing;2005;9;281.3;131;51;27;16;2;34;30;111;1;0
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;13;325.2;131;107;11;4;10;31;45;179;4;0
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;A;Forward;2005;9;207.0;130;57;16;25;9;16;26;179;0;0
Giuseppe Seggio;VfL Kirchheim Knights;B;Forward;2005;13;365.8;130;88;24;13;4;34;34;125;2;0
Tim Otto;Medipolis SC Jena;A;Forward;2005;12;255.6;128;56;14;12;7;17;31;145;0;0
Luca Förster;Basketball Löwen Erfurt;B;Combo;2007;9;202.6;128;26;10;20;1;26;16;91;0;0
Ivan Crnjac;Eintracht Frankfurt;B;Wing;2007;7;208.4;127;41;8;8;0;13;12;95;1;0
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;13;230.4;127;71;14;11;8;17;33;155;1;0
Gaston Nguyen Manh;Sartorius Juniors;B;Point;2008;11;295.0;127;18;38;12;0;23;19;119;0;0
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;12;297.9;126;47;26;18;5;25;41;117;0;0
Joscha Eckert;Tornados Franken;B;Point;2005;11;305.8;126;42;56;47;1;31;26;162;0;0
Johann Grau;Medipolis SC Jena;A;Big;2007;13;273.8;126;96;18;10;5;19;27;153;2;0
Ols Bauer;Rostock Seawolves;B;Combo;2005;9;252.2;125;32;28;9;0;25;20;95;0;0
Joshua Kreilein;USC Heidelberg;B;Combo;2005;9;200.1;124;19;12;9;0;22;27;59;0;0
Luca von Thun;Eisbären Bremerhaven;A;Big;2005;12;288.1;123;100;6;5;29;30;40;159;1;0
Tim Ludwig;Phoenix Hagen;B;Point;2007;8;191.0;122;23;11;14;0;16;13;91;0;0
Noé Bom;Hamburg Towers;A;Combo;2006;10;281.8;122;49;29;27;1;33;17;107;1;0
Valon Krasniqi;RheinStars Köln;B;Point;2005;10;263.5;122;23;46;17;0;17;11;127;0;0
Leonhard Laar;Team Urspring;A;Forward;2006;11;250.3;122;46;12;5;3;17;31;116;0;0
Anton Nufer;Alba Berlin;A;Combo;2006;12;324.5;122;44;41;15;5;33;29;110;0;0
Igor Jokic;Baskets Juniors Oldenburg;A;Combo;2005;7;141.3;119;21;11;16;0;16;14;101;0;0
Aurel Bucur;Team Bonn/Rhöndorf;B;Combo;2006;13;290.4;119;29;21;18;4;21;28;96;0;0
Marvin Eßer;Eintracht Frankfurt;B;Forward;2005;13;344.8;118;95;12;18;11;29;33;167;1;0
Mika Tangermann;Hamburg Towers;A;Big;2005;10;244.3;118;87;7;7;7;18;26;183;3;0
Finn Schwaiger;Medipolis SC Jena;A;Point;2005;14;380.0;118;33;54;19;0;31;24;100;0;0
Theophilus Badu Agyemang;HAKRO Merlins Crailsheim;B;Forward;2005;10;267.2;117;78;24;25;5;50;29;127;3;0
Henning Gustrau;Metropol Baskets Ruhr;B;Big;2005;8;175.3;117;70;19;7;2;11;21;159;3;0
Miles David De Koning;Sartorius Juniors;B;Combo;2005;9;241.3;116;30;31;12;0;21;15;92;0;0
Mats Niggemann;UBC Münster;A;Wing;2005;10;266.3;115;56;18;17;1;20;17;122;0;0
Maxwell Revell;Eisbären Bremerhaven;A;Forward;2007;10;253.5;114;45;8;7;4;38;13;72;0;0
Filip Nikolov;USC Heidelberg;B;Point;2006;10;270.5;114;28;23;16;0;41;26;90;0;0
Dorian Grosber;Alba Berlin;A;Wing;2006;11;268.9;114;71;40;20;6;26;29;148;1;0
Nevio Bennefeld;Alba Berlin;A;Forward;2007;13;295.7;112;57;18;14;12;35;38;104;0;0
Namori Omog;Eintracht Frankfurt;B;Combo;2006;13;290.1;112;53;43;26;5;35;22;123;0;0
Damarae Osazuwa Simson;Eisbären Bremerhaven;A;Combo;2007;12;331.9;112;40;26;17;2;75;28;39;0;0
Erik Neunhöffer;Team Südhessen;B;Forward;2006;10;253.7;112;55;8;15;5;34;34;90;0;0
Gianluca Christos Pavlidis;Phoenix Hagen;B;Wing;2006;7;218.5;111;35;6;8;3;16;24;105;1;0
Darren Egbe;Hamburg Towers;A;Point;2007;11;233.5;110;15;22;20;1;31;38;75;0;0
Dyami Janeck;Team Bonn/Rhöndorf;B;Combo;2005;11;237.6;110;42;35;18;2;36;31;105;1;0
Johann Helwig;Baskets Juniors Oldenburg;A;Wing;2006;14;364.5;108;50;21;31;13;26;43;130;0;0
Oliver Kullamäe;Orange Academy;B;Point;2007;8;245.3;107;28;54;26;1;38;14;114;0;0
Joel Mbappou;Berlin Braves Baskets;B;Big;2005;12;240.6;107;68;21;10;15;25;21;136;1;0
Endurance Aiyamenkhue;Orange Academy;B;Big;2007;9;225.3;107;100;9;2;44;18;24;185;3;0
Barna Gergö Buglyo;ratiopharm Ulm;B;Forward;2006;11;237.3;107;54;18;14;3;17;18;126;0;0
Leon Amadou Geißler;Team Urspring;A;Big;2006;13;299.0;106;83;12;9;8;21;30;148;0;0
Jasper Brand;Sartorius Juniors;B;Forward;2005;11;206.8;106;44;22;11;6;7;22;124;0;0
Milo Alexander Murray;Orange Academy;B;Wing;2007;9;243.6;105;39;16;9;1;30;13;74;0;0
Neil Schwanenberg;VfL Kirchheim Knights;B;Wing;2006;12;221.2;104;31;14;11;2;30;31;75;0;0
Jakub Klobusiak;Niners Chemnitz Academy;A;Forward;2005;13;322.2;103;68;16;5;3;20;37;139;1;0
