PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Moritz Grüß;Young Rasta Dragons;A;Point;2008;8;168.1;55;16;12;12;0;20;14;48;0;0
Max Dick;USC Heidelberg;B;Forward;2005;9;188.5;55;38;5;5;1;20;14;38;0;0
Husein Petlaca;BBA Giants Kornwestheim;B;Forward;2006;5;75.3;55;17;0;7;3;6;9;58;0;0
Till Gerdes;BBA Hagen;B;Big;2005;8;146.6;54;35;1;3;3;7;26;72;0;0
Lars Danziger;RheinStars Köln;B;Combo;2008;7;135.8;54;30;18;9;0;14;8;65;1;0
Finley Prüver;Eintracht Frankfurt;B;Wing;2006;12;168.4;54;26;7;10;0;9;18;63;0;0
Julijo Kendes;Team Urspring;A;Combo;2006;13;177.8;54;13;8;6;0;9;18;29;0;0
Daniel Riedrich;KICKZ IBAM;A;Forward;2005;7;129.9;54;28;3;5;2;11;5;58;0;0
Dominik Weitz;Team Bonn/Rhöndorf;B;Forward;2006;10;157.5;54;30;2;6;2;9;14;49;0;0
Silver Bieling;KICKZ IBAM;A;Combo;2005;8;99.2;53;16;9;7;1;11;10;47;0;0
Ludwig Hassler;Dresden Titans;B;Forward;2005;3;89.7;53;30;8;9;2;13;8;67;2;0
Ben Elijah David Williams;TG Hanau;B;Combo;2006;9;173.1;53;10;10;6;1;17;15;41;0;0
Andrej Milutinovic;Berlin Braves Baskets;B;Forward;2006;10;154.1;53;30;11;12;2;13;21;57;0;0
Giuliano Aufiero;FC Bayern München;A;Wing;2007;11;174.7;53;21;4;8;1;9;23;50;0;0
Tim Schnelle;Bayer Giants Leverkusen;A;Forward;2006;14;262.3;52;50;12;13;9;14;35;73;0;0
Tobias Neubert;Tornados Franken;B;Point;2006;7;129.1;52;13;13;14;2;16;13;53;0;0
Jayden Estrus Jr. Fatnassi;Hamburg Towers;A;Wing;2007;11;167.7;52;32;5;8;1;9;12;66;0;0
Titus Schuster;BBA Giants Kornwestheim;B;Combo;2005;7;196.9;51;25;13;11;1;17;7;26;0;0
Lukas Wiegeler;UBC Münster;A;Wing;2007;13;212.8;51;21;4;6;2;8;21;43;0;0
Felix Sinning;TG Hanau;B;Forward;2007;9;204.7;51;49;9;7;2;15;30;84;0;0
Jamie Camron Edoka;Eintracht Frankfurt;B;Combo;2008;9;187.0;51;25;19;17;4;18;23;54;0;0
David Jovanovic;TS Jahn München;B;Forward;2007;10;194.8;51;35;7;16;5;5;26;72;0;0
Marijan Krstonic;Sartorius Juniors;B;Big;2005;10;111.1;50;36;1;2;0;12;22;63;0;0
Luis Klöpzig;Dresden Titans;B;Forward;2005;10;195.1;50;63;10;7;5;23;24;59;1;0
Simon Maximilian Kley;Team Bonn/Rhöndorf;B;Forward;2006;10;169.5;50;47;9;6;5;14;27;68;0;0
Felix Stoll;Orange Academy;B;Forward;2007;7;134.5;50;35;5;5;7;5;16;62;1;0
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Combo;2007;12;177.0;49;12;18;2;0;19;16;45;0;0
Leon Kasche;Würzburg Baskets Akademie;B;Forward;2006;10;123.2;49;27;5;3;0;9;7;57;0;0
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Wing;2007;9;110.1;49;20;11;6;0;6;14;56;0;0
Dominic Vengert;USC Heidelberg;B;Combo;2006;6;115.3;49;15;9;9;3;17;8;38;0;0
Luis Uhlenbrock;Phoenix Hagen;B;Combo;2005;7;204.0;48;16;11;8;2;17;13;42;0;0
Vadim Maisels;TG Hanau;B;Combo;2005;9;175.6;48;31;14;17;0;12;36;60;0;0
Tin Udovicic;KICKZ IBAM;A;Point;2005;3;93.6;48;19;26;10;3;7;7;80;1;0
Caspar Chima Okoro;KICKZ IBAM;A;Wing;2006;12;199.9;48;27;9;8;4;9;24;61;0;0
Djairo Bernardina;Young Rasta Dragons;A;Combo;2007;11;208.0;48;24;12;16;0;15;26;54;0;0
Thomas Negga;VfL Kirchheim Knights;B;Point;2005;14;147.2;47;18;24;11;0;14;16;57;0;0
Ivan Volf;FC Bayern München;A;Wing;2006;4;125.3;47;24;16;10;3;10;8;54;0;0
Joshua Sievers;UBC Münster;A;Wing;2005;12;242.8;47;39;16;10;1;17;22;27;0;0
Colin Hartig;Niners Chemnitz Academy;A;Forward;2005;13;191.2;47;44;12;11;2;15;26;74;0;0
Jayson Roth;Sartorius Juniors;B;Forward;2005;10;155.9;47;41;11;5;4;13;13;74;0;0
Dario Pasternakowsky;Dresden Titans;B;Combo;2006;8;122.4;47;8;2;1;0;7;6;21;0;0
Cheikh Oumar Doucoure;Hamburg Towers;A;Forward;2006;12;178.6;46;27;5;12;4;19;30;32;0;0
Noah Palumbo;Bayer Giants Leverkusen;A;Point;2006;9;116.3;45;12;10;7;1;19;9;19;0;0
Stephan Jones;USC Heidelberg;B;Big;2006;9;122.7;45;58;4;12;6;10;21;97;1;0
Jaden Brown;Würzburg Baskets Akademie;B;Combo;2007;9;174.5;45;14;11;7;5;26;26;26;0;0
Jordan Knacke;KICKZ IBAM;A;Forward;2007;13;179.9;45;33;3;7;5;10;16;57;0;0
Joel Hamid Muschkewitz;SG Junior Löwen Braunschweig;B;Combo;2006;10;299.6;44;39;21;15;1;30;32;50;0;0
Justus Frische;TS Jahn München;B;Wing;2006;7;131.8;44;16;13;3;2;12;15;27;0;0
Jonas Gröger;Basketball Löwen Erfurt;B;Forward;2005;7;134.2;44;38;3;8;1;8;12;55;1;0
Wilko Dickgiesser;HAKRO Merlins Crailsheim;B;Forward;2005;9;236.3;43;46;14;10;7;28;25;55;0;0
Jug Bogdan;Bayer Giants Leverkusen;A;Forward;2007;8;117.2;43;29;5;4;1;8;11;49;0;0
Joshua William Greene;FC Bayern München;A;Combo;2006;8;96.7;43;6;4;6;0;13;12;28;0;0
Nikita Boshenko;Orange Academy;B;Wing;2007;9;170.9;42;18;4;5;0;10;15;19;0;0
Leo Hylla;Alba Berlin;A;Forward;2006;11;185.8;42;45;9;5;0;24;9;51;0;0
Tim-Felix Bühren;Young Rasta Dragons;A;Big;2005;12;144.5;42;49;5;7;2;9;12;67;0;0
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Combo;2006;3;72.1;42;12;7;5;0;9;8;33;0;0
Lennox Groh;UBC Münster;A;Combo;2006;11;186.1;42;16;14;12;4;12;16;38;0;0
Julian Haskins;Eintracht Frankfurt;B;Combo;2005;10;127.3;42;18;7;8;1;6;13;50;0;0
Jonah Lindemann;Eisbären Bremerhaven;A;Wing;2006;10;153.2;42;26;6;15;2;14;17;47;0;0
Julius Zacharias;BBA Hagen;B;Wing;2006;7;158.7;42;28;6;5;0;11;15;46;0;0
Alexander Vourliotis;Eisbären Bremerhaven;A;Forward;2006;8;169.8;42;31;10;10;3;24;22;40;0;0
Armand Junior Deumi Simo;Metropol Baskets Ruhr;B;Wing;2005;6;109.5;42;20;6;6;1;12;20;38;0;0
Nicola Schultze;Alba Berlin;A;Wing;2006;13;164.2;41;27;12;8;1;14;24;40;0;0
Ruomi Walter;Berlin Braves Baskets;B;Point;2006;11;155.7;41;11;18;17;1;22;17;39;0;0
Denial Ivojevic;BBA Hagen;B;Big;2005;7;137.4;41;39;5;4;5;10;20;51;1;0
Jussi Knorr;Rostock Seawolves;B;Combo;2007;10;159.8;41;21;8;10;0;22;12;33;0;0
Bar Amiel;Bamberg freakcity academy;A;Combo;2007;9;117.2;41;5;2;3;0;15;8;9;0;0
Paul Nickola;Würzburg Baskets Akademie;B;Combo;2005;4;93.6;40;9;14;5;3;4;8;47;0;0
Konstantin Matthias Lehmann;RheinStars Köln;B;Wing;2008;7;172.7;40;29;16;7;0;9;8;48;0;0
Kilian Hammer;BBA Giants Kornwestheim;B;Big;2006;9;143.7;40;45;8;5;1;16;17;64;0;0
Elias Earls;BBA Giants Kornwestheim;B;Wing;2006;4;92.8;40;11;4;3;3;8;11;27;0;0
Jonathan Elzie;Hamburg Towers;A;Forward;2005;10;121.6;40;19;2;5;3;13;19;25;0;0
Lazar Jalovi;Tornados Franken;B;Forward;2007;10;137.4;39;33;6;4;2;4;17;57;0;0
Nabil Alsabagh;TG Hanau;B;Wing;2007;6;97.3;38;24;8;5;0;17;5;31;0;0
Benno Wolf;Bamberg freakcity academy;A;Forward;2006;11;198.5;38;40;5;1;5;10;26;42;0;0
Calin Nita;Bayer Giants Leverkusen;A;Point;2005;5;116.6;38;17;18;6;1;18;9;30;0;0
Harun Fakhro;Berlin Braves Baskets;B;Wing;2007;9;76.0;37;13;1;5;1;8;8;23;0;0
Bruno Loll;Rostock Seawolves;B;Big;2007;8;170.3;37;56;8;6;7;14;10;62;0;0
Eneko Haug Alonso;BBA Giants Kornwestheim;B;Point;2007;10;140.3;37;16;15;9;0;16;12;38;0;0
Hagen Meyer;SG Junior Löwen Braunschweig;B;Forward;2005;10;143.1;37;34;9;7;2;12;12;49;0;0
Sebastian Burek;Würzburg Baskets Akademie;B;Combo;2006;7;146.0;36;24;9;10;0;6;14;40;0;0
Norwin Gumbinger;KICKZ IBAM;A;Forward;2006;7;78.6;36;17;3;2;1;4;4;39;0;0
Oskar Sandmann;Dresden Titans;B;Wing;2006;10;209.5;36;22;4;10;1;19;18;7;0;0
Leonard Menne;Bayer Giants Leverkusen;A;Wing;2006;11;115.3;36;11;4;2;0;4;15;28;0;0
Oliver Gradel;SG Junior Löwen Braunschweig;B;Combo;2006;8;236.9;36;24;16;7;2;19;20;28;0;0
Paul Schmorleiz;Alba Berlin;A;Wing;2006;11;117.3;36;11;2;2;1;7;15;23;0;0
Kjell Baumann;ratiopharm Ulm;B;Forward;2006;6;103.0;36;13;4;5;3;5;13;37;0;0
Leo König;VfL Kirchheim Knights;B;Combo;2005;10;147.5;36;12;8;3;0;10;5;10;0;0
Niko Jerkic;Orange Academy;B;Wing;2007;2;44.9;36;7;2;1;0;5;4;24;0;0
Eliah Linus Braun;Orange Academy;B;Big;2007;7;119.3;36;45;5;3;7;6;13;78;0;0
Eren Yildiz;TG Hanau;B;Point;2006;3;85.5;36;5;10;3;1;16;4;15;0;0
Enes Redzepovic;Sartorius Juniors;B;Wing;2005;7;94.5;36;19;5;2;0;3;7;29;0;0
Christopher Wersien;Eisbären Bremerhaven;A;Combo;2005;10;123.4;36;12;9;9;0;12;22;34;0;0
Sebastian Ochudlo;Metropol Baskets Ruhr;B;Combo;2006;5;98.1;35;9;8;3;2;11;11;27;0;0
Alan Topic Volovec;FC Bayern München;A;Forward;2007;8;81.0;35;13;2;2;0;8;5;26;0;0
Jayson Pfannenstiel;Eisbären Bremerhaven;A;Forward;2006;12;204.0;35;27;5;1;1;5;9;42;0;0
Danylo Kolesnichenko;Baskets Paderborn;A;Point;2007;5;97.7;34;10;18;4;1;19;8;36;0;0
Arshia Daniel Azami;RheinStars Köln;B;Forward;2006;7;152.5;34;43;11;7;2;12;21;46;0;0
Luke-Johan Kiraly;Basketball Löwen Erfurt;B;Wing;2007;10;131.0;33;14;3;2;0;16;5;9;0;0
Finn-Friedrich Flasche;Alba Berlin;A;Forward;2005;8;87.6;33;18;3;6;0;9;17;41;0;0
Luca Flemming;Team Bonn/Rhöndorf;B;Wing;2005;7;119.9;32;18;5;4;0;9;16;33;0;0
Nikolai Stanic;Team Bonn/Rhöndorf;B;Wing;2005;9;108.5;32;17;7;3;1;7;13;33;0;0
Paul Viefhues;UBC Münster;A;Combo;2005;2;39.1;32;6;1;4;0;3;1;23;0;0
Kurt Donath;Dresden Titans;B;Forward;2005;6;129.8;32;24;9;2;5;14;2;23;0;0
Leon Azdajic;BBA Giants Kornwestheim;B;Forward;2005;9;158.3;32;35;2;10;0;16;13;34;0;0
Jakob Moritz;USC Heidelberg;B;Big;2006;8;102.1;32;25;3;4;5;7;14;39;0;0
Delano Miguel Juma;Niners Chemnitz Academy;A;Wing;2006;10;166.8;32;19;7;7;3;18;26;21;0;0
Noah Wendland;Würzburg Baskets Akademie;B;Wing;2007;3;66.2;31;11;10;1;3;12;10;27;0;0
Angelos Avramidis;Hamburg Towers;A;Combo;2006;8;119.1;31;11;8;6;0;10;10;20;0;0
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;11;112.1;30;28;1;0;1;4;17;38;0;0
Mika Ullsperger;Orange Academy;B;Point;2007;5;81.2;30;4;7;5;1;11;8;11;0;0
Riccardo Cunsolo;ART Giants Düsseldorf;B;Big;2006;7;141.2;30;33;4;1;7;10;21;41;0;0
Connor Anderson;ratiopharm Ulm;B;Wing;2005;9;156.1;30;28;7;10;1;4;11;51;0;0
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;A;Forward;2006;9;181.7;30;29;5;10;2;14;21;31;0;0
Josh Behrendt;Team Bonn/Rhöndorf;B;Forward;2007;7;92.1;30;19;3;2;2;6;7;24;0;0
Friedrich Beyer;RheinStars Köln;B;Big;2007;7;155.1;30;38;7;2;6;10;21;50;0;0
Fynn Dobiecki;Team Bonn/Rhöndorf;B;Forward;2007;3;54.7;30;14;5;4;2;5;4;32;0;0
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Wing;2005;8;113.1;29;22;9;3;2;12;19;39;0;0
Filip Vozar;Würzburg Baskets Akademie;B;Wing;2007;8;121.7;29;15;8;1;0;8;6;25;0;0
Jonas Keil;HAKRO Merlins Crailsheim;B;Wing;2005;9;178.2;29;22;6;9;0;27;12;16;0;0
Dominic Mack;Porsche BBA Ludwigsburg;A;Wing;2007;6;57.2;29;13;3;4;0;3;8;32;0;0
Jonas Groß;Young Rasta Dragons;A;Point;2005;8;110.6;29;9;8;6;0;12;10;9;0;0
Nicolas Lehmann;Team Südhessen;B;Combo;2005;10;168.9;28;13;10;9;0;9;8;39;0;0
Moritz Herbst;TS Jahn München;B;Point;2005;8;154.9;28;19;24;9;1;18;4;30;0;0
Rephael Edward;Eintracht Frankfurt;B;Forward;2007;13;142.0;28;44;4;8;2;11;23;61;0;0
Eren Simbil;Alba Berlin;A;Combo;2005;3;56.3;28;7;4;5;0;9;7;24;0;0
Alejandro Ruano Garayoa;ART Giants Düsseldorf;B;Wing;2007;5;95.8;28;15;3;5;0;8;15;19;0;0
Finn Paris;Baskets Paderborn;A;Combo;2006;12;194.7;28;30;23;11;1;27;17;39;0;0
Elias Bittel;Würzburg Baskets Akademie;B;Point;2007;10;164.3;28;9;13;6;0;21;19;18;0;0
Ben Groß;TG Hanau;B;Combo;2006;4;87.6;28;2;7;1;2;4;4;14;0;0
Elhadj Lamin Gassama;HAKRO Merlins Crailsheim;B;Forward;2005;4;66.8;28;18;4;6;1;6;6;39;0;0
Luis Sziede;VfL Kirchheim Knights;B;Forward;2005;12;206.9;27;35;8;6;0;12;21;35;0;0
Muhamad-Adel Soumare Medford;UBC Münster;A;Big;2006;7;118.1;27;36;5;3;1;7;23;48;0;0
Leonard Dertmann;UBC Münster;A;Forward;2007;8;148.2;27;26;3;5;2;11;15;42;0;0
Max Adamczyk;ART Giants Düsseldorf;B;Combo;2006;6;67.3;27;8;6;2;0;8;6;24;0;0
Emre Gülseckin;SG Junior Löwen Braunschweig;B;Point;2005;7;150.2;27;10;13;10;1;20;25;5;0;0
Alfred Milatz;Niners Chemnitz Academy;A;Combo;2006;12;247.6;27;35;21;10;0;22;13;32;0;0
Mathieu Adovi-Ley;Hamburg Towers;A;Big;2006;10;111.9;26;40;1;3;0;8;22;40;0;0
Kayaan Yeboah;Orange Academy;B;Wing;2008;5;84.0;26;10;4;4;4;7;8;15;0;0
Jakob Käufler;Orange Academy;B;Wing;2007;6;108.7;26;19;4;8;0;9;13;28;0;0
Ivan Kharchenkov;FC Bayern München;A;Wing;2006;1;32.5;26;10;3;4;0;6;2;25;1;0
Gustav Kringel;Rostock Seawolves;B;Wing;2007;6;157.9;26;28;9;6;0;16;16;29;0;0
Cem Ünver;BBA Hagen;B;Forward;2005;8;95.1;26;28;2;7;2;11;23;33;0;0
Fiete Nimmich;Rostock Seawolves;B;Big;2007;8;102.6;25;28;6;0;3;8;6;44;0;0
Paul Luis Schwabe;Young Rasta Dragons;A;Big;2005;9;75.5;24;28;0;1;0;5;15;29;0;0
Laurenz Wulf;Hamburg Towers;A;Forward;2005;4;74.3;24;14;4;6;3;10;8;28;0;0
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;A;Wing;2005;9;162.7;24;21;14;4;1;11;10;26;0;0
Ole Schiffer;RheinStars Köln;B;Combo;2007;4;36.6;24;8;4;2;0;2;2;30;0;0
Andreas Basonidis;TS Jahn München;B;Point;2007;4;70.3;24;4;10;5;0;13;5;9;0;0
Ben Denkena;Baskets Juniors Oldenburg;A;Combo;2005;5;81.8;24;5;1;4;0;3;10;18;0;0
Nik Fassnacht;HAKRO Merlins Crailsheim;B;Point;2006;3;84.9;23;11;11;5;1;17;5;16;0;0
Lukas Vogl;TS Jahn München;B;Combo;2007;7;89.5;23;8;7;1;0;7;4;7;0;0
Ben Longerich;BBA Hagen;B;Combo;2006;7;146.2;23;16;6;3;0;11;6;-4;0;0
Alen Blakaj;Young Rasta Dragons;A;Forward;2007;6;75.0;23;12;5;2;4;2;9;21;0;0
Maximilian Peters;Eintracht Frankfurt;B;Forward;2007;9;87.3;22;19;3;3;1;10;6;23;0;0
Osaigbovo Idehen Aguebor;Baskets Paderborn;A;Big;2008;3;39.8;22;19;1;2;3;1;6;35;0;0
Liam Gföllner;Alba Berlin;A;Combo;2007;7;90.0;22;11;7;2;0;17;8;4;0;0
Linus Jürgens;Baskets Paderborn;A;Combo;2006;7;57.0;22;3;2;4;0;2;3;17;0;0
Noe Baucks;Baskets Paderborn;A;Wing;2006;6;50.4;22;9;1;6;1;5;5;28;0;0
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;A;Forward;2006;6;85.3;22;18;2;4;0;4;13;31;0;0
Eduard Rantz;FC Bayern München;A;Forward;2007;9;96.9;22;18;2;2;2;5;19;28;0;0
Teis Hümmels;Sartorius Juniors;B;Forward;2005;11;86.3;21;19;5;1;0;5;19;25;0;0
Panagiotis Mousionis;Phoenix Hagen;B;Wing;2007;7;114.3;21;16;9;4;0;6;17;16;0;0
Tyrese Leonce;Würzburg Baskets Akademie;B;Forward;2006;7;85.3;21;16;2;2;1;4;9;29;0;0
Lukas Mutter;Alba Berlin;A;Point;2007;7;83.7;21;7;14;6;0;14;8;27;0;0
Paul Manuel Raabe;Alba Berlin;A;Point;2006;5;66.1;21;8;10;9;0;12;15;21;0;0
Sulaiman Al Horda;Team Bonn/Rhöndorf;B;Forward;2005;4;59.6;21;7;1;0;1;3;7;26;0;0
Erik Niggemann;UBC Münster;A;Point;2007;7;60.0;21;2;0;2;0;2;8;12;0;0
Eldin Kücken;Sartorius Juniors;B;Forward;2005;9;59.2;21;18;2;5;0;6;12;27;0;0
Connor Duncan Ritterswürden;Phoenix Hagen;B;Big;2006;5;112.7;21;22;0;2;4;2;5;40;0;0
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;A;Combo;2006;3;63.5;21;10;2;2;0;8;4;7;0;0
Paul Schmidt;Tornados Franken;B;Forward;2006;12;121.9;20;23;6;6;1;8;22;22;0;0
Lukas Ophelders;Metropol Baskets Ruhr;B;Point;2007;5;60.0;20;6;7;4;0;17;5;9;0;0
Spyridon Savvidis;TG Hanau;B;Combo;2005;7;98.9;20;7;2;5;1;13;8;-13;0;0
Romeo Akue-Dovi;SG Junior Löwen Braunschweig;B;Forward;2006;8;112.8;20;15;1;3;1;13;14;10;0;0
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Forward;2007;8;64.3;20;19;5;5;3;3;9;39;0;0
Karl Haring;Medipolis SC Jena;A;Point;2007;4;32.8;20;2;7;1;0;2;1;19;0;0
Jakub Sevcik;HAKRO Merlins Crailsheim;B;Wing;2007;1;37.3;20;2;3;3;0;4;2;5;0;0
David Omoregie;HAKRO Merlins Crailsheim;B;Combo;2007;9;239.2;20;25;16;10;2;21;16;40;0;0
Leo Kirchhoff;UBC Münster;A;Point;2007;11;73.2;19;13;6;7;0;19;7;12;0;0
Vuk Scepanovic;Team Bonn/Rhöndorf;B;Combo;2007;5;62.1;19;6;1;5;0;6;10;5;0;0
Korbinian Pfisterer;TS Jahn München;B;Forward;2006;4;63.9;19;17;2;5;1;2;4;29;0;0
Maximilian Leinweber;Orange Academy;B;Combo;2006;8;130.7;19;19;11;5;0;13;10;22;0;0
Tim Kati;ART Giants Düsseldorf;B;Forward;2005;8;73.6;19;13;1;2;3;11;16;12;0;0
Maurice Barthel;Würzburg Baskets Akademie;B;Combo;2007;7;70.2;19;4;1;1;0;7;1;7;0;0
Nikolaos Dellis;ART Giants Düsseldorf;B;Forward;2005;3;64.5;19;14;4;1;2;8;10;11;0;0
Gunnar Wanninger;KICKZ IBAM;A;Forward;2006;6;39.5;19;7;1;2;0;2;11;18;0;0
Fabrice Heberer;Eintracht Frankfurt;B;Wing;2006;7;50.8;19;10;3;1;0;4;9;18;0;0
Jan Drabek;BBA Hagen;B;Point;2005;5;84.9;19;8;11;6;0;13;2;13;0;0
Martin Kalu;FC Bayern München;A;Wing;2005;2;56.4;18;12;4;1;0;9;6;5;0;0
Timon Hoffmann;Baskets Paderborn;A;Forward;2006;10;105.5;18;15;3;3;2;4;10;27;0;0
Mateja Pivnicki;Team Urspring;A;Forward;2007;8;54.2;18;12;2;1;1;4;10;20;0;0
Manuel Ebert;TG Hanau;B;Wing;2005;7;77.6;18;11;2;0;0;7;7;13;0;0
Marko Volf;FC Bayern München;A;Combo;2009;2;40.6;18;3;0;0;0;4;3;6;0;0
Dominik Kostic;BBA Giants Kornwestheim;B;Wing;2005;8;113.7;18;14;4;9;1;17;8;-3;0;0
Cavit Gürbüzer;BBA Hagen;B;Big;2007;6;80.6;18;26;1;2;0;3;16;32;0;0
Julian Kirchhoff;Baskets Paderborn;A;Combo;2005;7;62.9;18;5;4;2;0;3;3;14;0;0
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;A;Combo;2007;8;101.7;18;8;6;4;0;7;12;13;0;0
Elias Nold;Baskets Juniors Oldenburg;A;Point;2005;4;49.7;18;5;8;4;0;2;4;22;0;0
Leeroy Jaiteh;Metropol Baskets Ruhr;B;Big;2006;4;34.3;17;11;0;1;2;6;2;19;0;0
Denzel Mota;Bamberg freakcity academy;A;Combo;2007;10;167.2;17;16;16;6;0;5;23;33;0;0
Ibrahim Recani;BBA Hagen;B;Forward;2007;4;78.1;17;19;1;0;0;6;2;14;0;0
Eric-Stephàne Nkouè;HAKRO Merlins Crailsheim;B;Big;2007;2;41.5;17;18;4;2;1;7;4;18;1;0
Mihailo Drinic;Tornados Franken;B;Point;2006;7;85.4;16;3;6;2;0;9;6;3;0;0
Tom Wübben;Baskets Paderborn;A;Forward;2005;3;26.4;16;3;2;2;0;1;1;19;0;0
Saliou Diouf;Phoenix Hagen;B;Forward;2006;9;144.9;16;31;6;6;10;20;15;25;0;0
Dewal Eno Tabot;Metropol Baskets Ruhr;B;Combo;2005;4;44.1;16;6;2;5;0;3;6;19;0;0
Didier Alphonse Mbida Mengue;FC Bayern München;A;Forward;2006;4;49.3;16;15;6;5;2;6;8;31;0;0
Saro Pisacane;Bamberg freakcity academy;A;Point;2006;4;37.3;15;4;3;2;0;7;3;8;0;0
Roberts Spikis;Basketball Löwen Erfurt;B;Forward;2006;4;74.2;15;8;0;2;1;6;11;2;0;0
Nikolai Kaiser;RheinStars Köln;B;Forward;2007;5;50.5;15;8;3;1;1;5;3;16;0;0
Nils Hensel;Team Südhessen;B;Wing;2006;3;47.6;15;5;2;2;0;7;2;-2;0;0
Simon Oberstadt;Berlin Braves Baskets;B;Combo;2006;8;74.6;15;1;1;5;0;6;4;-2;0;0
Koray Grenz;FC Bayern München;A;Forward;2007;11;178.9;15;24;8;4;3;12;23;17;0;0
Jeremie Fotso Sighom;Basketball Löwen Erfurt;B;Forward;2008;5;79.3;15;20;7;2;0;5;10;25;0;0
#8Bonn;Team Bonn/Rhöndorf;B;Forward;1900;1;23.6;15;6;0;4;2;1;3;19;0;0
Djibril Jeremias Claus;Sartorius Juniors;B;Forward;2006;2;15.0;15;3;0;0;0;2;1;13;0;0
Jan Jesgarzewski;Eisbären Bremerhaven;A;Forward;2006;7;75.3;15;12;2;0;3;9;5;8;0;0
Moritz Ahrens;Dresden Titans;B;Forward;2005;7;54.5;14;15;2;3;0;6;9;22;0;0
Myles Howell;TG Hanau;B;Forward;2005;4;42.0;14;13;2;3;1;6;10;21;0;0
Cornelius Meinel;Medipolis SC Jena;A;Combo;2006;8;90.4;14;13;8;4;1;14;11;18;0;0
Aksel Günday;RheinStars Köln;B;Wing;2005;4;40.3;14;5;2;1;0;2;5;15;0;0
Bastian Nückel;Bamberg freakcity academy;A;Combo;2006;6;81.6;14;2;3;1;0;6;6;5;0;0
Timo Wachsmuth;Bamberg freakcity academy;A;Forward;2005;8;70.5;13;16;0;0;0;2;4;19;0;0
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;8;66.4;13;17;1;6;1;6;7;21;0;0
Ole Sebastiani;Eisbären Bremerhaven;A;Wing;2006;6;89.3;13;6;4;5;1;7;4;17;0;0
Stergios Augusto;ART Giants Düsseldorf;B;Big;2005;4;76.2;13;22;2;2;2;5;11;23;0;0
Leopold Schmidt;Medipolis SC Jena;A;Wing;2007;4;46.1;13;8;5;2;0;5;8;15;0;0
Quirin Koller;TS Jahn München;B;Combo;2005;7;78.8;13;12;5;8;1;9;9;9;0;0
Sebastian Hubrich;TS Jahn München;B;Combo;2007;2;41.1;13;4;5;1;0;2;2;9;0;0
Alexander Lehmann;Baskets Paderborn;A;Forward;2006;9;81.3;13;14;4;5;0;0;11;24;0;0
Viktor Block;ART Giants Düsseldorf;B;Forward;2007;5;39.3;12;7;0;1;0;4;6;7;0;0
Till Galler;Team Urspring;A;Combo;2007;8;54.2;12;9;5;1;0;2;5;18;0;0
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;A;Point;2005;1;29.3;12;4;6;3;0;5;4;6;0;0
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;A;Forward;2008;1;22.2;12;3;1;2;1;0;4;14;0;0
Samuel Moser;HAKRO Merlins Crailsheim;B;Combo;2007;5;88.0;12;5;2;7;0;3;7;18;0;0
Henri Hense;ratiopharm Ulm;B;Combo;2006;6;58.3;12;2;7;5;0;7;10;10;0;0
Clemens Bialas;Baskets Paderborn;A;Combo;2008;4;50.5;12;7;6;2;0;11;5;3;0;0
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;A;Wing;2006;8;71.7;12;6;3;2;0;4;8;9;0;0
Felix Bolkart;ratiopharm Ulm;B;Combo;2006;5;68.3;12;4;2;7;0;5;11;3;0;0
Jericho Richter;Eisbären Bremerhaven;A;Combo;2006;8;105.1;12;12;4;5;0;19;3;5;0;0
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;A;Combo;2005;5;100.6;12;9;8;6;0;3;11;9;0;0
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;A;Forward;2007;9;72.6;11;15;2;7;1;5;8;18;0;0
Noah Bakker;Eisbären Bremerhaven;A;Combo;2006;3;51.7;11;2;1;3;1;3;1;8;0;0
Lukas Schütz;Porsche BBA Ludwigsburg;A;Wing;2007;8;67.0;11;5;3;1;0;5;5;3;0;0
Semen Plachkov;BBA Hagen;B;Combo;2006;4;40.4;11;8;1;2;0;8;3;7;0;0
Max Riedel;Alba Berlin;A;Combo;2006;5;42.9;11;5;1;2;0;4;2;3;0;0
Fabian Schwarz;VfL Kirchheim Knights;B;Point;2006;8;35.3;11;1;4;3;0;5;4;-3;0;0
Julius Kessler;ART Giants Düsseldorf;B;Forward;2005;8;51.5;11;5;1;0;2;5;6;5;0;0
